t,pedal_cnt,resist_pct,tgt_resist_pct,power,work
1609711948.9774811,2,0.05,0.03,0.98,9.33
1609711950.5778804,3,0.05,0.04,36.1,65.82
1609711951.6781301,4,0.05,0.04,69.92,144.48
1609711952.6777372,5,0.05,0.04,82.61,229.99
1609711953.777501,6,0.05,0.04,75.87,311.93
1609711954.877754,7,0.05,0.04,71.25,391.38
1609711955.9780061,8,0.05,0.03,78.76,474.86
1609711956.9784696,9,0.05,0.03,97.22,567.71
1609711957.8777075,10,0.05,0.04,97.13,660.47
1609711958.7776392,11,0.05,0.04,107.08,757.91
1609711959.6777344,12,0.04,0.03,102.89,851.54
1609711960.6775918,13,0.05,0.04,96.12,943.81
1609711961.5777142,14,0.04,0.03,104.03,1037.96
1609711962.477445,15,0.05,0.04,113.43,1138.35
1609711963.3779724,16,0.04,0.03,96.13,1228.71
1609711964.377846,17,0.05,0.04,102.42,1323.96
1609711965.1777818,18,0.05,0.04,110.7,1423.03
1609711966.1777802,19,0.05,0.04,105.81,1519.84
1609711967.0780602,20,0.05,0.03,108.05,1617.63
1609711967.977949,21,0.05,0.04,104.66,1713.92
1609711968.8778899,22,0.05,0.04,111.94,1813.55
1609711969.6779008,23,0.05,0.03,117.81,1915.45
1609711970.478173,24,0.05,0.03,145.74,2029.13
1609711971.1777582,25,0.05,0.04,191.39,2159.28
1609711971.878399,26,0.05,0.04,159.76,2278.3
1609711972.777839,27,0.05,0.04,128.46,2384.92
1609711973.5778418,28,0.05,0.03,135.15,2494.39
1609711974.3804185,29,0.05,0.04,136.7,2604.43
1609711975.1774466,30,0.05,0.03,121.3,2708.14
1609711976.0777633,31,0.04,0.03,114.73,2806.81
1609711976.9780428,32,0.05,0.04,119.65,2909.71
1609711977.6777408,33,0.05,0.04,159.92,3028.85
1609711978.2777925,34,0.05,0.04,230.67,3171.86
1609711978.8773582,35,0.05,0.04,242.02,3318.28
1609711979.5781853,36,0.05,0.04,229.77,3460.74
1609711980.177894,37,0.05,0.03,230.45,3603.62
1609711980.7779436,38,0.05,0.04,219.9,3743.25
1609711981.4782424,39,0.05,0.04,180.43,3869.55
1609711982.2778597,40,0.05,0.04,151.37,3985.35
1609711983.0777378,41,0.05,0.04,140.16,4096.77
1609711983.87817,42,0.05,0.04,129.09,4203.92
1609711984.7776146,43,0.05,0.04,114.5,4304.68
1609711985.6774166,44,0.05,0.04,98.06,4397.84
1609711986.677599,45,0.05,0.04,94.15,4489.16
1609711987.77768,46,0.05,0.06,73.21,4569.69
1609711988.9781573,47,0.07,1.0,71.79,4653.32
1609711990.078219,48,0.14,1.0,88.73,4757.58
1609711991.2781045,49,0.22,1.0,104.8,4882.81
1609711992.2777305,50,0.29,1.0,177.03,5058.07
1609711993.477504,51,0.34,0.99,138.93,5221.31
1609711994.8778315,52,0.46,1.0,129.33,5395.9
1609711996.578124,53,0.58,1.0,93.06,5556.43
1609711998.4777954,54,0.71,1.0,84.82,5722.25
1609712000.278335,55,0.9,1.0,119.69,5938.88
1609712002.1779623,56,1.0,1.0,130.12,6174.4
1609712003.3780773,57,0.98,1.0,266.24,6508.53
1609712004.6780117,58,1.0,1.0,239.18,6827.84
1609712006.3781617,59,1.0,1.0,159.46,7088.57
1609712008.1783018,60,1.0,1.0,123.88,7318.37
1609712010.277884,61,0.93,0.86,94.89,7513.85
1609712012.3777773,62,0.72,0.48,73.34,7668.6
1609712014.0779397,63,0.6,0.45,95.22,7832.84
1609712015.677783,64,0.49,0.44,99.18,7989.05
1609712017.2777474,65,0.53,0.49,100.95,8150.57
1609712019.1779084,66,0.47,0.07,66.9,8276.67
1609712020.978074,67,0.37,0.0,62.04,8388.34
1609712022.3776097,68,0.27,0.0,87.06,8508.91
1609712023.5778887,69,0.24,0.0,107.9,8638.94
1609712024.777436,70,0.18,0.0,94.95,8752.88
1609712025.7776122,71,0.14,0.0,107.94,8867.3
1609712026.8780468,72,0.1,0.0,91.19,8965.79
1609712027.9782898,73,0.06,0.0,79.51,9051.25
1609712029.0780475,74,0.04,0.0,75.02,9131.53
1609712029.9782188,75,0.04,0.0,101.07,9224.52
1609712030.877605,76,0.04,0.0,95.84,9314.6
1609712031.8777077,77,0.04,0.0,91.68,9403.07
1609712032.8780994,78,0.04,0.0,89.99,9490.81
1609712033.7774687,79,0.04,0.0,101.66,9583.83
1609712034.6782038,80,0.04,0.0,94.5,9673.61
1609712035.6776078,81,0.04,0.0,97.76,9765.01
1609712036.578149,82,0.04,0.0,97.01,9856.21
1609712037.5776505,83,0.04,0.0,89.81,9943.77
1609712038.4779832,84,0.04,0.0,103.92,10037.82
1609712039.377978,85,0.02,0.0,88.25,10121.66
1609712040.3779721,86,0.04,0.0,87.28,10208.07
1609712041.4784424,87,0.04,0.0,75.98,10288.61
1609712042.577885,88,0.04,0.04,66.79,10364.09
1609712043.7776368,89,0.03,0.06,57.35,10432.63
1609712044.877719,90,0.04,0.1,71.49,10510.91
1609712046.0778403,91,0.11,0.27,83.63,10607.51
1609712046.9782794,92,0.18,0.27,144.69,10746.41
1609712047.9776232,93,0.27,0.3,160.5,10909.32
1609712049.0777676,94,0.27,0.3,149.18,11066.71
1609712050.077781,95,0.24,0.27,152.42,11221.41
1609712051.078379,96,0.27,0.29,169.24,11388.96
1609712052.0780294,97,0.27,0.3,160.84,11552.21
1609712053.0776827,98,0.27,0.28,160.67,11715.29
1609712054.0779035,99,0.26,0.3,164.92,11880.21
1609712055.0777154,100,0.27,0.29,169.24,12047.76
1609712056.0777597,101,0.27,0.3,169.06,12215.13
1609712057.0778303,102,0.27,0.28,159.18,12377.5
1609712058.1776876,103,0.27,0.29,146.01,12533.0
1609712059.1781094,104,0.27,0.3,159.18,12695.37
1609712060.1780975,105,0.27,0.29,153.28,12854.78
1609712061.1778724,106,0.27,0.3,165.44,13020.22
1609712062.1774454,107,0.27,0.3,180.08,13193.09
1609712063.1775284,108,0.27,0.3,172.71,13362.35
1609712064.1775892,109,0.24,0.26,149.13,13515.21
1609712065.1775508,110,0.24,0.27,163.14,13675.08
1609712066.177651,111,0.27,0.29,167.19,13841.44
1609712067.1776466,112,0.27,0.3,147.55,13997.84
1609712068.2775626,113,0.27,0.28,150.77,14156.15
1609712069.3784986,114,0.27,0.3,137.16,14307.02
1609712070.3783016,115,0.27,0.3,165.87,14472.89
1609712071.3777008,116,0.27,0.28,176.38,14643.98
1609712072.2775335,117,0.27,0.3,176.11,14814.81
1609712073.2777421,118,0.27,0.3,165.7,14980.51
1609712074.077652,119,0.27,0.29,262.45,15189.15
1609712074.7780683,120,0.27,0.3,386.22,15442.13
1609712075.3775644,121,0.27,0.28,454.36,15717.02
1609712075.9783957,122,0.27,0.29,493.08,16003.0
1609712076.4774442,123,0.24,0.27,537.3,16293.15
1609712076.9783049,124,0.27,0.3,637.73,16618.39
1609712077.4782422,125,0.24,0.27,709.66,16951.93
1609712077.8798878,126,0.24,0.26,774.58,17300.49
1609712078.3776991,127,0.27,0.29,822.12,17670.45
1609712078.7780042,128,0.27,0.29,839.83,18044.17
1609712079.277683,129,0.27,0.29,942.78,18440.14
1609712079.678107,130,0.27,0.29,921.21,18831.65
1609712080.085056,131,0.24,0.26,774.15,19180.02
1609712080.5781739,132,0.24,0.26,793.83,19533.27
1609712080.9888752,133,0.24,0.26,869.34,19902.74
1609712081.3775866,134,0.24,0.27,890.16,20276.61
1609712081.877862,135,0.24,0.26,829.37,20637.39
1609712082.279958,136,0.27,0.29,769.14,20995.04
1609712082.878239,137,0.24,0.27,580.71,21297.01
1609712083.4777694,138,0.27,0.3,425.08,21562.68
1609712084.1777303,139,0.27,0.29,329.91,21796.92
1609712084.977713,140,0.27,0.3,266.06,22007.1
1609712085.77769,141,0.27,0.29,233.16,22204.12
1609712086.6780376,142,0.27,0.29,192.18,22382.85
1609712087.6781716,143,0.27,0.28,189.84,22560.35
1609712088.5776355,144,0.27,0.3,200.51,22742.81
1609712089.4779196,145,0.27,0.29,204.78,22927.12
1609712090.3779137,146,0.27,0.3,218.92,23117.58
1609712091.1781414,147,0.27,0.29,226.55,23311.28
1609712092.077802,148,0.27,0.29,218.92,23501.73
1609712092.978417,149,0.27,0.3,193.76,23680.96
1609712093.8780968,150,0.27,0.29,207.18,23866.39
1609712094.7775884,151,0.27,0.29,200.2,24048.58
1609712095.678233,152,0.19,0.22,179.58,24206.61
1609712096.5771825,153,0.27,0.3,198.23,24387.99
1609712097.4775214,154,0.27,0.3,195.77,24568.09
1609712098.4775915,155,0.27,0.3,195.56,24748.01
1609712099.377653,156,0.27,0.3,178.12,24919.9
1609712100.3773186,157,0.27,0.29,176.29,25090.91
1609712101.277768,158,0.27,0.29,178.03,25262.71
1609712102.2777088,159,0.27,0.29,196.18,25443.19
1609712103.1783376,160,0.27,0.3,183.79,25617.79
