t,hb,pedal,resistance,hb_bpm
1551227364.6377985,4,0,0.04,0.6
1551227365.7329323,16,0,0.03,0.3
1551227366.7172992,15,0,0.03,0.3
1551227367.7016845,6,0,0.03,0.3
1551227368.6860595,4,0,0.04,7.8
1551227369.6704378,0,0,0.03,7.8
1551227370.6548426,4,0,0.03,0.3
1551227371.7485702,21,0,0.04,0.3
1551227372.732945,16,0,0.03,0.3
1551227373.7296891,3,0,0.03,0.3
1551227374.7140925,3,0,0.03,0.3
1551227375.6984665,3,0,0.04,0.3
1551227376.6827962,11,0,0.03,0.3
1551227377.7705634,3,0,0.03,0.3
1551227378.754943,125,0,0.04,0.3
1551227379.73958,201,0,0.04,0.3
1551227380.730089,201,0,0.03,0.3
1551227381.7144914,178,0,0.03,0.3
1551227382.8082466,0,0,0.04,0.3
1551227383.7925942,0,0,0.03,0.3
1551227384.7769704,0,0,0.03,0.3
1551227385.7613752,26,0,0.03,0.3
1551227386.7457502,6,0,0.03,0.3
1551227387.8394566,0,0,0.03,0.3
