t,hb,pedal,resistance,hb_bpm
1551233250.487442,0,0,0.34,12.9
1551233251.4717982,0,0,0.34,12.9
1551233252.7218254,1,0,0.34,132.0
1551233253.5343246,0,0,0.34,132.0
1551233254.4874437,0,0,0.34,132.0
1551233255.4874508,1,0,0.34,174.9
1551233256.5187042,1,0,0.34,65.1
1551233257.488896,3,0,0.34,9.9
1551233258.4889345,5,0,0.34,13.5
1551233259.4888983,4,0,0.34,16.5
1551233260.5670803,0,0,0.34,16.5
1551233261.5826874,1,0,0.34,126.0
1551233262.5201905,2,0,0.34,36.6
1551233263.6139464,1,1,0.34,34.2
1551233264.551445,0,0,0.34,34.2
1551233265.5357816,0,0,0.34,34.2
1551233266.6452,1,0,0.34,227.7
1551233267.6153944,0,1,0.34,227.7
1551233268.6154015,0,1,0.34,227.7
1551233269.5841448,2,1,0.34,39.0
1551233270.6154015,2,1,0.34,39.9
1551233271.6153996,1,1,0.34,38.7
1551233272.5997763,2,1,0.34,38.7
1551233273.5841599,1,1,0.34,38.7
1551233274.6310446,2,2,0.34,38.7
1551233275.6935086,1,1,0.34,39.6
1551233276.6622837,2,1,0.34,42.6
1551233277.6168256,1,1,0.34,44.1
1551233278.621093,1,1,0.34,42.6
1551233279.690609,2,2,0.34,43.2
1551233280.635516,1,1,0.34,41.7
1551233281.68241,2,1,0.34,42.3
1551233282.6667743,2,1,0.34,23.1
1551233283.6511571,11,1,0.34,4.5
1551233284.7292724,1,0,0.34,14.7
