t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551664587.3421035,0,0,0.04,29.27
1551664588.060896,0,0,0.03,29.27
1551664588.9827657,1,0,0.04,15.23
1551664590.092105,1,0,0.04,60.3
1551664591.0452726,0,0,0.04,60.3
1551664592.1233566,1,0,0.04,30.0
1551664593.0608974,1,0,0.04,31.58
1551664594.0139828,0,0,0.04,31.58
1551664595.0764844,1,0,0.04,53.81
1551664596.0140207,0,0,0.04,53.81
1551664597.060898,1,0,0.03,31.58
1551664598.1233604,2,0,0.08,129.03
1551664599.1390238,1,0,0.14,63.16
1551664600.060901,2,0,0.2,266.67
1551664601.1233623,3,0,0.25,157.89
1551664602.0765224,1,0,0.36,200.0
1551664603.0608997,0,0,0.44,200.0
1551664604.1077387,2,0,0.48,230.77
1551664605.1390245,2,0,0.48,71.86
1551664606.0765254,1,0,0.47,255.32
1551664607.154616,1,0,0.46,62.83
1551664608.0921555,2,0,0.46,70.59
1551664609.1546564,1,0,0.46,179.1
1551664610.2015338,1,0,0.42,226.42
1551664611.1234074,1,0,0.46,171.43
1551664612.139028,3,0,0.46,125.0
1551664613.1234102,2,0,0.46,300.0
1551664614.10778,1,0,0.46,200.0
1551664615.1077824,2,0,0.46,240.0
1551664616.232799,2,0,0.46,144.58
1551664617.123415,2,0,0.46,164.38
1551664618.1389985,1,0,0.46,101.69
1551664619.1859167,2,0,0.46,107.14
1551664620.2327516,0,0,0.46,107.14
1551664621.217162,1,0,0.46,25.92
1551664622.2483764,2,0,0.46,166.67
1551664623.2171676,2,1,0.46,187.5
1551664624.279665,0,1,0.46,187.5
1551664625.201553,0,1,0.46,187.5
1551664626.201539,1,1,0.46,19.48
1551664627.2796707,1,1,0.46,87.59
1551664628.2171788,2,1,0.46,98.36
1551664629.2796721,1,1,0.46,226.42
1551664630.20154,0,1,0.46,226.42
1551664631.2484348,0,2,0.46,226.42
1551664632.2015421,0,3,0.46,226.42
1551664633.2015405,0,2,0.46,226.42
1551664634.248416,1,2,0.46,12.21
1551664635.217171,0,2,0.45,12.21
1551664636.2796707,1,2,0.45,25.26
1551664637.2483835,0,2,0.45,25.26
1551664638.3109038,0,2,0.45,25.26
1551664639.2483864,1,3,0.45,21.39
1551664640.279635,0,2,0.45,21.39
1551664641.3265471,0,2,0.46,21.39
1551664642.2796364,0,2,0.45,21.39
1551664643.32655,1,2,0.45,13.22
1551664644.3578038,1,2,0.46,118.81
1551664645.2796767,2,2,0.45,121.21
1551664646.3109224,1,3,0.45,61.54
1551664647.3577638,1,2,0.45,122.45
1551664648.2796774,1,2,0.46,62.5
1551664649.3265555,0,2,0.45,62.5
1551664650.357806,1,2,0.45,31.33
1551664651.4202986,0,2,0.45,31.33
1551664652.3890533,1,3,0.45,25.75
1551664653.4203086,0,2,0.45,25.75
1551664654.3265617,2,2,0.45,133.33
1551664655.3421786,0,1,0.46,133.33
1551664656.4046884,0,2,0.45,133.33
1551664657.3265631,0,1,0.45,133.33
1551664658.3734329,2,1,0.45,137.93
1551664659.4359002,1,2,0.45,45.45
1551664660.35781,2,1,0.46,137.93
1551664661.3890595,1,1,0.46,45.45
1551664662.38906,2,2,0.45,136.36
1551664663.4671946,2,1,0.45,136.36
1551664664.4046903,3,1,0.45,136.36
1551664665.4359412,2,2,0.45,136.36
1551664666.3890657,2,1,0.45,137.93
1551664667.4515648,2,1,0.45,133.33
1551664668.389066,2,2,0.46,134.83
1551664669.4671872,1,1,0.45,134.83
1551664670.389064,1,1,0.45,44.78
1551664671.4359403,2,1,0.46,134.83
1551664672.420319,1,1,0.45,68.18
1551664673.4359474,0,2,0.45,68.18
1551664674.435943,0,1,0.45,68.18
1551664675.4515681,0,1,0.45,68.18
1551664676.4828355,0,1,0.45,68.18
1551664677.4671972,0,1,0.45,68.18
