t,pedal_cnt,resist_pct,tgt_resist_pct,power,work
1609795458.5750875,1,0.04,0.0,1.85,0.01
1609795459.342608,1,0.03,0.0,142.25,0.13
1609795460.109135,1,0.04,0.0,151.47,0.14
1609795460.860668,1,0.04,0.0,151.16,0.14
1609795461.6601713,1,0.04,0.0,159.88,0.14
1609795462.311767,1,0.04,0.0,157.39,0.14
1609795463.0652995,1,0.03,0.0,150.04,0.13
1609795463.840821,1,0.04,0.0,159.56,0.14
1609795464.5213978,1,0.03,0.0,151.93,0.13
1609795465.2639396,1,0.04,0.01,151.62,0.14
1609795466.038898,1,0.04,0.0,151.78,0.14
1609795466.8195333,1,0.04,0.0,155.59,0.14
1609795467.5658495,1,0.04,0.0,149.32,0.13
1609795468.3389845,1,0.04,0.0,153.35,0.14
1609795469.0991476,1,0.04,0.0,153.35,0.14
1609795469.753743,1,0.04,0.01,153.04,0.14
1609795470.51827,1,0.04,0.0,153.35,0.14
1609795471.2897913,1,0.04,0.01,147.36,0.13
1609795472.0623114,1,0.04,0.0,132.99,0.13
1609795472.9467618,1,0.03,0.04,113.72,0.12
1609795473.799235,1,0.05,0.07,119.99,0.12
1609795474.693681,1,0.08,0.23,136.77,0.14
1609795475.5381594,1,0.13,0.37,153.15,0.16
1609795476.4416,1,0.17,0.34,159.14,0.17
1609795477.4322417,1,0.24,0.32,148.84,0.18
1609795478.6449034,1,0.26,0.08,116.26,0.16
1609795479.9250422,1,0.2,0.07,85.19,0.13
1609795481.5816956,1,0.19,0.22,48.05,0.1
1609795484.5488584,1,0.23,0.26,17.23,0.06
1609795486.0559258,1,0.22,0.26,74.84,0.13
1609795486.92938,1,0.23,0.26,174.95,0.2
1609795487.9052422,1,0.23,0.24,178.76,0.2
1609795488.794087,1,0.23,0.26,184.7,0.2
1609795489.6678977,1,0.23,0.26,200.0,0.21
1609795490.546883,1,0.23,0.24,186.43,0.2
1609795491.428863,1,0.23,0.26,195.39,0.21
1609795492.3193367,1,0.23,0.26,188.82,0.2
1609795493.2802691,1,0.21,0.24,178.06,0.19
1609795494.1560688,1,0.23,0.26,197.84,0.21
1609795494.9525754,1,0.23,0.26,212.17,0.22
1609795495.9279706,1,0.23,0.26,190.94,0.2
1609795496.7884386,1,0.23,0.26,180.81,0.2
1609795497.7648308,1,0.23,0.26,171.37,0.19
1609795498.6552844,1,0.23,0.26,175.05,0.2
1609795499.5417333,1,0.23,0.26,193.31,0.21
1609795500.418192,1,0.23,0.26,184.7,0.2
