t,hb,pedal,resistance,hb_bpm
1551232425.370523,2,1,0.04,29.1
1551232426.3549259,3,0,0.03,29.4
1551232427.4486794,2,1,0.03,29.4
1551232428.558057,2,1,0.03,29.7
1551232429.43305,2,1,0.03,30.0
1551232430.4330533,2,1,0.04,30.0
1551232431.3861737,5,1,0.03,6.9
1551232432.4018042,2,1,0.04,29.4
1551232433.3705564,1,2,0.03,58.8
1551232434.4486794,2,1,0.03,28.8
1551232435.448666,1,1,0.03,60.0
1551232436.4330592,1,1,0.03,58.5
1551232437.418834,1,2,0.03,27.9
1551232438.418877,0,1,0.04,27.9
1551232439.4813745,1,2,0.03,112.5
1551232440.5282543,0,2,0.04,112.5
1551232441.4501286,1,2,0.04,137.4
1551232442.4813793,0,2,0.04,137.4
1551232443.5282207,2,2,0.03,30.3
1551232444.4501343,3,2,0.03,12.3
1551232445.5126326,1,2,0.03,6.3
1551232446.4813898,6,2,0.03,2.7
1551232447.465723,0,2,0.03,2.7
1551232448.4501398,1,1,0.03,104.1
1551232449.465771,2,1,0.03,26.4
1551232450.5282698,2,1,0.03,25.5
1551232451.559518,0,2,0.03,25.5
1551232452.496984,2,1,0.03,25.5
1551232453.590786,3,1,0.03,12.0
1551232454.5126462,2,1,0.03,25.8
1551232455.5438607,1,1,0.03,77.4
1551232456.5594869,2,2,0.03,26.4
1551232457.5126507,2,1,0.04,26.4
1551232458.5282702,0,1,0.04,26.4
1551232459.5282414,1,1,0.03,129.9
1551232460.575118,0,1,0.04,129.9
1551232461.5282462,6,1,0.03,6.9
1551232462.590786,0,1,0.04,6.9
1551232463.5282898,0,2,0.03,6.9
1551232464.6376622,1,1,0.04,131.1
1551232465.575164,1,2,0.04,103.8
1551232466.6220362,0,1,0.03,103.8
1551232467.575169,0,2,0.03,103.8
1551232468.5595052,1,2,0.04,150.6
1551232469.668919,1,2,0.04,49.2
1551232470.6376712,0,1,0.03,49.2
1551232471.6376727,0,2,0.03,49.2
