t,hb,pedal,resistance,hb_bpm
1551232566.109954,1,2,0.22,129.3
1551232567.038205,2,1,0.22,37.5
1551232568.0850441,3,2,0.22,33.9
1551232569.0694416,0,1,0.22,33.9
1551232570.1631896,0,2,0.22,33.9
1551232571.147548,2,2,0.22,24.3
1551232572.195679,0,1,0.22,24.3
1551232573.1097891,1,2,0.22,117.6
1551232574.1008368,1,1,0.22,45.6
1551232575.088443,0,2,0.22,45.6
1551232576.1686397,0,1,0.22,45.6
1551232577.1643536,3,1,0.22,4.2
1551232578.1487653,2,1,0.22,22.5
1551232579.130336,5,2,0.22,4.2
1551232580.2237277,0,1,0.22,4.2
1551232581.208104,4,1,0.22,10.8
1551232582.1975336,2,1,0.22,22.2
1551232583.1824324,3,1,0.22,22.2
1551232584.165155,3,1,0.22,21.9
1551232585.1410224,2,1,0.22,22.5
1551232586.2432451,3,1,0.22,22.2
1551232587.2300012,0,1,0.22,22.2
1551232588.3112252,1,1,0.22,114.9
1551232589.1982753,3,1,0.22,23.1
1551232590.1773274,1,1,0.22,23.4
1551232591.27234,2,1,0.22,23.1
1551232592.176754,0,1,0.22,23.1
1551232593.1878119,1,1,0.22,115.8
1551232594.215929,4,1,0.22,13.2
1551232595.2054446,3,1,0.22,22.8
1551232596.3008413,2,1,0.22,23.4
1551232597.2839508,2,1,0.22,23.4
1551232598.271089,2,1,0.22,23.4
1551232599.2495894,2,1,0.22,23.1
1551232600.242763,3,1,0.22,23.1
1551232601.22714,2,1,0.22,23.4
1551232602.3117852,3,0,0.22,22.8
1551232603.3017132,2,1,0.22,23.1
1551232604.2868867,2,1,0.22,23.4
1551232605.2712636,3,1,0.22,23.4
1551232606.2559211,3,1,0.22,20.4
1551232607.3496196,3,1,0.22,23.4
1551232608.3339963,2,1,0.22,23.1
1551232609.3184273,3,1,0.22,23.1
1551232610.302749,1,1,0.22,23.1
1551232611.2871253,0,1,0.22,23.1
1551232612.3809137,3,0,0.22,23.1
1551232613.3653066,2,1,0.22,23.1
1551232614.3496923,6,1,0.22,8.4
1551232615.3340063,10,1,0.22,8.1
1551232616.3184233,8,1,0.22,9.9
1551232617.3014867,6,1,0.22,3.0
1551232618.3988369,2,1,0.22,12.3
1551232619.3988187,1,1,0.22,45.0
1551232620.36757,7,1,0.22,1.8
1551232621.3695245,0,0,0.22,1.8
1551232622.338276,1,1,0.22,124.2
1551232623.4320638,3,1,0.22,1.8
1551232624.4164405,2,1,0.22,2.4
1551232625.4007797,5,1,0.22,4.5
1551232626.3851562,0,1,0.21,4.5
1551232627.3695323,0,1,0.22,4.5
1551232628.3539484,3,0,0.22,2.4
1551232629.4477105,3,0,0.22,25.2
1551232630.4320366,2,0,0.22,25.5
1551232631.4164128,3,0,0.22,26.1
1551232632.4007897,2,0,0.22,26.1
1551232633.385166,2,0,0.22,25.8
1551232634.4746175,3,0,0.22,25.8
1551232635.4589803,2,0,0.22,26.1
1551232636.4396825,2,0,0.22,26.1
1551232637.4323688,3,0,0.22,26.1
1551232638.4168236,2,0,0.22,26.4
1551232639.5105326,2,0,0.22,26.4
1551232640.494873,2,0,0.22,26.7
1551232641.4793072,3,0,0.22,26.7
1551232642.4636655,2,0,0.22,27.3
1551232643.4480028,2,0,0.22,27.6
1551232644.5338936,2,0,0.22,27.9
1551232645.5182314,2,0,0.22,28.2
1551232646.5026076,2,0,0.22,28.2
1551232647.4953234,3,0,0.22,27.9
1551232648.4665208,2,0,0.22,27.6
1551232649.5602722,2,1,0.22,27.9
1551232650.5445962,2,0,0.22,28.2
1551232651.5290082,0,1,0.22,28.2
1551232652.5120924,2,1,0.22,27.0
1551232653.496469,2,1,0.22,27.6
1551232654.5902205,2,1,0.22,27.3
1551232655.5745971,2,1,0.22,27.6
1551232656.559012,2,1,0.22,26.7
1551232657.5433502,0,2,0.22,26.7
1551232658.5277262,1,1,0.22,133.8
1551232659.5121028,1,1,0.22,52.5
1551232660.6058543,3,1,0.22,26.4
1551232661.59023,1,1,0.22,25.8
1551232662.5758212,2,2,0.22,26.1
1551232663.5601974,0,1,0.22,26.1
1551232664.544574,1,1,0.22,129.9
1551232665.6383789,0,1,0.22,129.9
1551232666.6227016,1,1,0.22,77.4
1551232667.6070774,2,1,0.22,24.9
1551232668.591472,2,1,0.22,25.2
1551232669.575878,3,1,0.22,25.2
1551232670.669628,2,1,0.22,25.2
1551232671.6539588,2,1,0.22,25.5
1551232672.6383598,3,1,0.22,24.9
1551232673.6227608,2,1,0.22,25.2
1551232674.6071374,2,1,0.22,25.2
1551232675.5915108,3,1,0.22,25.2
1551232676.685267,2,1,0.22,25.5
1551232677.6696136,3,1,0.22,25.2
1551232678.654016,2,1,0.22,25.2
1551232679.638364,2,1,0.22,24.9
1551232680.622744,3,1,0.22,24.3
1551232681.716474,1,1,0.22,49.8
1551232682.7022688,0,1,0.22,49.8
1551232683.6866274,2,1,0.22,24.6
1551232684.671027,3,1,0.22,24.6
1551232685.655379,0,1,0.22,24.6
1551232686.749156,2,1,0.22,50.1
