t,hb,pedal,resistance,hb_bpm
1551232498.8749163,3,1,0.03,25.5
1551232499.718647,0,1,0.03,25.5
1551232500.8124359,1,1,0.04,121.2
1551232501.8124201,1,1,0.03,6.0
1551232502.8124235,1,1,0.03,102.0
1551232503.7655463,3,1,0.03,25.2
1551232504.7655473,0,1,0.03,25.2
1551232505.7968,2,2,0.03,25.2
1551232506.828014,1,2,0.04,24.6
1551232507.8593032,1,2,0.03,98.4
1551232508.7968051,0,1,0.03,98.4
1551232509.7811818,1,2,0.03,119.7
1551232510.781185,1,2,0.03,69.9
1551232511.7968235,0,2,0.03,69.9
1551232512.8449845,1,2,0.03,69.6
1551232513.860612,2,1,0.03,22.5
1551232514.8137362,1,2,0.03,45.9
1551232515.8606088,2,2,0.04,23.4
1551232516.8137403,0,2,0.04,23.4
1551232517.876236,0,1,0.04,23.4
1551232518.813741,1,1,0.03,209.7
1551232519.891865,1,0,0.07,48.3
1551232520.8293703,3,0,0.07,24.6
1551232521.924602,0,1,0.11,24.6
1551232522.9089816,1,0,0.19,118.5
1551232523.908981,3,0,0.28,25.5
1551232524.877732,2,0,0.37,25.5
1551232525.862107,3,0,0.46,25.8
1551232526.8933587,2,1,0.55,26.1
1551232527.955863,2,0,0.63,26.4
1551232528.9558656,2,0,0.72,26.4
1551232529.9246182,1,0,0.82,26.7
1551232530.955891,1,1,0.95,77.4
1551232531.8933692,0,1,0.99,77.4
1551232532.9089983,1,0,0.99,127.5
1551232533.9714973,2,1,1.0,25.5
1551232534.8933344,0,1,1.0,25.5
1551232535.9402492,2,1,1.0,2.1
1551232536.9246306,1,1,1.0,98.1
1551232537.9090009,0,1,1.0,98.1
1551232539.0027568,2,0,1.0,22.8
1551232539.9715033,1,1,1.0,47.4
1551232540.9715056,3,1,1.0,23.4
1551232541.9417064,0,0,1.0,23.4
1551232542.9417098,0,1,1.0,23.4
1551232544.0198393,0,0,0.98,23.4
1551232545.0198405,2,0,0.84,24.3
1551232545.9885917,2,0,0.74,25.2
1551232546.9729867,2,0,0.65,24.9
1551232547.9573412,0,0,0.57,24.9
1551232548.9729683,3,0,0.49,25.2
1551232550.0510972,2,0,0.42,25.8
1551232551.0198505,2,0,0.35,26.1
1551232552.004225,3,0,0.27,26.4
1551232552.9886038,2,0,0.21,26.4
1551232553.9886053,2,0,0.14,26.1
1551232555.0667279,3,1,0.12,25.8
1551232556.0667307,2,0,0.12,25.5
1551232557.0681415,2,0,0.12,25.8
1551232558.0212753,3,1,0.12,26.1
1551232559.0212731,2,0,0.14,26.7
1551232560.0212696,2,0,0.21,27.0
1551232561.083773,2,0,0.22,27.3
1551232562.0994139,3,0,0.22,27.0
1551232563.0630774,1,1,0.22,8.1
1551232564.063078,1,1,0.22,71.7
1551232565.0630832,0,2,0.22,71.7
