t,hb,pedal,resistance,hb_bpm
1551235661.6784465,1,0,0.26,60.0
1551235662.709718,0,0,0.26,60.0
1551235663.6797335,0,0,0.26,60.0
1551235664.6797323,3,0,0.26,210.53
1551235665.7477663,3,0,0.26,193.55
1551235666.7477336,4,0,0.26,193.55
1551235667.7008958,4,0,0.26,148.15
1551235668.8050888,0,0,0.26,148.15
1551235669.778302,7,0,0.26,26.49
1551235670.7783039,3,0,0.26,173.91
1551235671.7470624,2,0,0.26,99.17
1551235672.7782679,1,0,0.26,98.36
1551235673.7314298,2,0,0.26,97.56
1551235674.8252025,2,0,0.26,97.56
1551235675.7470558,1,0,0.26,98.36
1551235676.809563,2,0,0.26,97.56
1551235677.8408153,2,0,0.26,95.24
1551235678.8251913,1,0,0.26,93.02
1551235679.8251884,2,0,0.26,87.59
1551235680.7783146,1,0,0.26,86.96
1551235681.8095977,1,0,0.26,86.96
1551235682.809533,2,0,0.26,87.59
1551235683.7797797,1,0,0.26,87.59
1551235684.8266675,2,0,0.26,90.23
1551235685.8735187,2,0,0.26,95.24
1551235686.8579085,1,0,0.26,96.77
1551235687.842287,2,0,0.26,99.17
1551235688.8735569,2,0,0.26,103.45
1551235689.9047916,1,0,0.26,105.26
1551235690.8266659,2,0,0.26,103.45
1551235691.873552,2,0,0.26,99.17
1551235692.8579178,1,0,0.26,100.84
1551235693.9219277,2,0,0.26,99.17
1551235694.8438017,2,0,0.26,96.0
1551235695.9375525,1,1,0.26,93.75
1551235696.8438077,2,1,0.26,96.77
1551235697.9375591,2,2,0.26,100.0
1551235698.8906806,1,1,0.26,100.0
1551235699.8906882,2,2,0.26,101.69
1551235700.8593974,2,2,0.26,102.56
1551235701.890719,5,2,0.26,101.69
1551235702.8594415,6,2,0.26,210.53
1551235703.9077215,5,2,0.26,181.82
1551235704.892101,5,1,0.26,121.21
1551235705.923355,9,2,0.26,230.77
1551235706.9702282,2,2,0.26,106.19
1551235707.9076917,3,2,0.26,187.5
1551235708.9702308,2,2,0.26,108.11
1551235709.923361,6,1,0.26,272.73
1551235711.017111,3,2,0.26,131.87
1551235712.0170763,5,2,0.26,122.45
1551235712.9858618,2,0,0.26,112.15
1551235713.9873238,2,0,0.26,113.21
1551235714.9716647,2,0,0.26,110.09
1551235715.940448,2,0,0.26,108.11
1551235717.0342057,1,0,0.26,108.11
1551235717.9560764,2,0,0.26,107.14
1551235719.002956,2,0,0.26,107.14
1551235719.9873343,2,0,0.26,106.19
1551235720.987335,2,0,0.26,107.14
1551235721.956087,1,0,0.26,106.19
1551235723.0498004,2,0,0.26,105.26
1551235724.035606,2,0,0.26,105.26
1551235725.0355728,2,0,0.26,103.45
1551235726.0668585,1,0,0.26,103.45
1551235727.0355747,2,0,0.26,100.84
1551235728.1137555,2,0,0.26,99.17
1551235729.066867,1,0,0.26,100.0
1551235730.0512373,2,0,0.26,100.0
1551235731.0356178,2,0,0.26,100.84
1551235732.0199928,2,0,0.26,102.56
1551235733.1137464,1,0,0.26,102.56
1551235734.1151686,2,0,0.26,101.69
1551235735.0839188,2,0,0.26,102.56
1551235736.1464233,1,0,0.26,100.84
1551235737.1151726,2,0,0.26,100.84
1551235738.0995123,2,0,0.26,100.84
1551235739.0995538,1,0,0.27,100.0
1551235740.1151848,2,0,0.26,100.84
1551235741.146434,2,0,0.26,100.0
1551235742.1463938,1,0,0.26,101.69
1551235743.1620612,2,0,0.26,101.69
1551235744.0697615,2,0,0.26,100.0
1551235745.1478863,1,0,0.26,100.0
1551235746.1478882,2,0,0.26,97.56
1551235747.1166399,2,0,0.26,96.0
1551235748.116638,1,0,0.26,96.77
1551235749.2103903,2,0,0.27,96.77
1551235750.179151,2,0,0.26,96.77
1551235751.2104106,1,0,0.26,98.36
1551235752.1478932,2,0,0.26,97.56
1551235753.1479018,2,0,0.26,97.56
1551235754.1649349,1,0,0.26,97.56
1551235755.227436,2,0,0.26,96.0
1551235756.2117736,3,0,0.26,179.1
1551235757.1961503,7,0,0.26,176.47
1551235758.1805325,0,0,0.26,176.47
1551235759.1493134,0,0,0.26,176.47
