t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1566140862.1364024,1,0,0.37,54.55
1566140863.0457206,0,0,0.37,54.55
1566140864.0276585,0,0,0.37,54.55
1566140864.9753528,0,0,0.37,54.55
1566140866.0425973,1,0,0.37,83.92
1566140867.0457823,1,0,0.37,196.72
1566140868.0376418,2,0,0.37,196.72
1566140868.9882355,3,0,0.37,142.86
1566140870.0587125,1,0,0.37,235.29
1566140871.0431685,3,0,0.37,131.87
1566140872.0329895,3,0,0.37,164.38
1566140873.0600162,3,0,0.37,206.9
1566140874.0482614,1,0,0.37,206.9
1566140875.0692267,0,0,0.37,206.9
1566140876.0795143,2,0,0.37,196.72
1566140877.104492,3,0,0.37,184.62
1566140878.0217607,1,0,0.37,272.73
1566140879.0506892,2,0,0.37,214.29
1566140880.0971737,2,0,0.37,203.39
1566140881.080766,2,0,0.37,222.22
1566140882.074606,1,0,0.37,226.42
1566140883.0647697,1,0,0.37,300.0
1566140884.0942159,2,0,0.37,285.71
1566140885.1026878,2,0,0.37,235.29
1566140886.113535,1,0,0.37,65.93
1566140887.1356099,1,0,0.37,50.63
1566140888.142577,2,1,0.37,107.14
1566140889.1558905,0,2,0.37,107.14
1566140890.1659057,0,1,0.37,107.14
1566140891.1787915,1,1,0.37,22.22
1566140892.1631916,2,1,0.37,103.45
1566140893.0949566,3,2,0.37,169.01
1566140894.2040563,1,1,0.37,102.56
1566140895.1063092,2,2,0.37,108.11
1566140896.2046556,1,3,0.37,45.11
1566140897.1735795,0,3,0.37,45.11
1566140898.1836452,1,2,0.37,48.39
1566140899.2151744,2,3,0.37,222.22
1566140900.1440332,0,3,0.37,222.22
1566140901.2158542,0,2,0.37,222.22
1566140902.207191,0,2,0.37,222.22
1566140903.234133,0,3,0.37,222.22
1566140904.2365966,1,2,0.37,11.76
1566140905.248878,0,2,0.37,11.76
1566140906.2548563,1,3,0.37,29.7
1566140907.1646266,1,2,0.37,40.68
1566140908.17988,0,2,0.37,40.68
1566140909.2046444,1,3,0.37,41.81
1566140910.2105017,0,2,0.37,41.81
1566140911.2428892,1,3,0.37,25.53
1566140912.2761564,2,2,0.37,65.22
1566140913.2764919,1,2,0.37,66.3
1566140914.2103326,0,2,0.37,66.3
1566140915.296353,1,3,0.37,33.24
1566140916.2130885,2,2,0.37,134.83
1566140917.246592,2,2,0.37,67.8
1566140918.261657,0,2,0.37,67.8
1566140919.26559,0,3,0.37,67.8
1566140920.2905369,3,2,0.37,240.0
1566140921.2409658,0,2,0.37,240.0
1566140922.2707305,2,2,0.37,142.86
1566140923.2788656,1,3,0.37,71.01
1566140924.2856574,0,2,0.37,71.01
1566140925.3288388,0,2,0.37,71.01
1566140926.348416,1,2,0.37,20.8
1566140927.3728313,0,3,0.37,20.8
1566140928.331121,0,2,0.37,20.8
1566140929.3215704,3,2,0.37,151.9
1566140930.3597348,2,2,0.37,148.15
1566140931.3744853,0,3,0.37,148.15
1566140932.3666828,0,2,0.37,148.15
1566140933.3837967,1,2,0.37,19.35
1566140934.4042816,0,2,0.37,19.35
1566140935.3658576,1,0,0.37,38.1
1566140936.3604429,3,0,0.37,157.89
1566140937.4033685,2,0,0.37,153.85
1566140938.4155707,3,0,0.37,151.9
1566140939.424048,2,0,0.37,153.85
1566140940.4293108,3,0,0.37,151.9
1566140941.3674173,2,0,0.37,148.15
1566140942.3477223,3,0,0.37,150.0
1566140943.3722012,2,0,0.37,148.15
1566140944.3983214,3,0,0.37,144.58
1566140945.3909132,2,0,0.37,146.34
1566140946.3841798,3,0,0.37,144.58
1566140947.4239688,2,0,0.37,142.86
1566140948.4210145,2,0,0.37,142.86
1566140949.483904,3,0,0.37,141.18
1566140950.389004,2,0,0.37,142.86
1566140951.3933322,2,0,0.37,141.18
1566140952.4010806,3,0,0.37,142.86
1566140953.4041839,2,0,0.37,139.53
1566140954.4137812,3,0,0.37,139.53
1566140955.4427333,2,0,0.37,139.53
1566140956.4871905,2,0,0.37,141.18
1566140957.4706943,3,0,0.37,137.93
1566140958.4798033,2,0,0.37,139.53
1566140959.4604537,2,0,0.37,136.36
1566140960.4631565,2,0,0.37,136.36
1566140961.4534547,3,0,0.37,134.83
1566140962.4907227,2,0,0.37,144.58
1566140963.4530678,0,2,0.37,144.58
1566140964.4594734,2,2,0.37,133.33
1566140965.4891741,1,1,0.37,68.18
1566140966.4906688,2,2,0.37,136.36
1566140967.5173724,2,2,0.37,133.33
1566140968.549733,3,2,0.37,131.87
1566140969.578526,2,2,0.37,133.33
1566140970.590031,1,2,0.37,130.43
1566140971.5299423,2,1,0.37,130.43
1566140972.5625477,2,2,0.36,130.43
1566140973.5907207,2,2,0.37,129.03
1566140974.5693142,0,2,0.37,129.03
1566140975.609221,0,2,0.37,129.03
1566140976.5244389,1,1,0.37,21.58
1566140977.606648,2,2,0.37,130.43
1566140978.616515,0,2,0.37,130.43
1566140979.5361342,3,2,0.37,133.33
1566140980.5755262,1,1,0.37,133.33
1566140981.5851564,0,2,0.37,133.33
1566140982.6134765,1,2,0.37,27.21
1566140983.629649,1,2,0.37,137.93
1566140984.6492972,0,1,0.37,137.93
1566140985.575646,2,2,0.37,137.93
1566140986.6086147,3,2,0.37,141.18
1566140987.611462,2,2,0.37,141.18
1566140988.5932975,2,2,0.37,141.18
1566140989.6346774,0,1,0.37,141.18
1566140990.681866,0,2,0.37,141.18
1566140991.6514528,1,2,0.37,20.55
1566140992.6575837,0,2,0.37,20.55
1566140993.6908033,2,1,0.37,146.34
1566140994.6959264,0,2,0.37,146.34
1566140995.6337113,3,2,0.37,148.15
1566140996.6492126,1,2,0.37,148.15
1566140997.6809042,0,1,0.37,148.15
1566140998.701714,2,2,0.37,148.15
1566140999.6830592,1,2,0.37,150.0
1566141000.664569,0,2,0.37,150.0
