t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551494607.6662524,18,1,0.36,134.83
1551494608.4631083,17,0,0.36,134.83
1551494609.4475105,17,1,0.36,134.83
1551494610.4475195,8,0,0.36,134.83
1551494611.5881338,1,0,0.36,54.79
1551494612.494378,0,0,0.36,54.79
1551494613.5568762,10,0,0.36,255.32
1551494614.478769,11,1,0.36,255.32
1551494615.5255919,3,0,0.36,80.54
1551494616.5412526,3,1,0.36,76.43
1551494617.5412571,0,0,0.36,76.43
1551494618.5881317,7,1,0.36,86.33
1551494619.5100243,8,1,0.36,117.65
1551494620.51001,0,0,0.36,117.65
1551494621.556877,1,1,0.31,44.44
1551494622.5256348,9,0,0.24,153.85
