t,pedal_cnt,resist_pct,tgt_resist_pct,power,work
1609795536.115748,1,0.23,0.26,0.0,0.0
1609795537.00433,1,0.23,0.26,200.34,0.21
1609795537.8036246,1,0.23,0.26,206.92,0.21
1609795538.669092,1,0.23,0.26,207.15,0.21
1609795539.5195591,1,0.23,0.26,219.74,0.22
1609795540.3210669,1,0.23,0.26,236.29,0.23
1609795541.1828907,1,0.23,0.26,211.69,0.22
1609795542.0773993,1,0.23,0.26,207.15,0.21
1609795542.9347346,1,0.23,0.26,214.45,0.22
1609795543.7423925,1,0.23,0.24,210.61,0.21
1609795544.7227316,1,0.23,0.26,195.28,0.21
1609795545.4930754,1,0.23,0.26,211.69,0.22
1609795546.3369207,1,0.23,0.26,233.51,0.23
1609795547.214416,1,0.23,0.26,202.64,0.21
1609795548.071139,1,0.23,0.26,202.76,0.21
1609795548.838254,1,0.21,0.26,212.7,0.21
1609795549.7552423,1,0.23,0.26,214.33,0.22
1609795550.5413513,1,0.23,0.26,227.47,0.22
1609795551.3853366,1,0.23,0.26,195.72,0.21
1609795552.2646155,1,0.23,0.26,193.2,0.21
1609795553.2585242,1,0.21,0.24,187.98,0.2
1609795554.021775,1,0.23,0.26,207.38,0.21
1609795554.8632598,1,0.23,0.26,212.05,0.22
1609795555.6543217,1,0.23,0.26,245.35,0.23
1609795556.5162234,1,0.23,0.26,242.27,0.23
1609795557.2941005,1,0.23,0.26,227.47,0.22
1609795558.182614,1,0.23,0.26,236.16,0.23
1609795558.9141579,1,0.23,0.26,224.97,0.22
1609795559.8087382,1,0.23,0.26,214.33,0.22
1609795560.5747597,1,0.23,0.26,222.27,0.22
1609795561.469023,1,0.23,0.26,200.11,0.21
1609795562.4483757,1,0.23,0.23,184.8,0.2
1609795563.3128383,1,0.23,0.26,193.42,0.21
1609795564.1636631,1,0.23,0.26,202.3,0.21
1609795564.9537442,1,0.23,0.26,227.47,0.22
1609795565.8471916,1,0.23,0.26,233.38,0.23
1609795566.605109,1,0.23,0.26,230.27,0.22
1609795567.4555762,1,0.23,0.26,214.21,0.22
1609795568.3590195,1,0.23,0.27,204.76,0.21
1609795569.232475,1,0.23,0.26,197.73,0.21
1609795570.0879455,1,0.23,0.26,204.88,0.21
1609795570.858473,1,0.23,0.26,222.02,0.22
1609795571.6279936,1,0.23,0.26,245.21,0.23
1609795572.51045,1,0.21,0.24,219.3,0.21
1609795573.3779082,1,0.21,0.24,214.27,0.21
1609795574.1334355,1,0.21,0.24,224.51,0.22
1609795574.9416177,1,0.23,0.26,219.74,0.22
1609795575.7832725,1,0.23,0.26,227.47,0.22
1609795576.6527379,1,0.23,0.26,222.4,0.22
1609795577.441247,1,0.23,0.24,216.27,0.22
1609795578.304825,1,0.23,0.26,207.5,0.21
1609795579.1722023,1,0.21,0.24,176.21,0.19
1609795580.0581248,1,0.21,0.24,190.82,0.2
1609795581.0376358,1,0.23,0.26,179.06,0.2
1609795581.9023547,1,0.21,0.24,188.77,0.2
1609795582.7953622,1,0.23,0.24,199.77,0.21
1609795583.6608055,1,0.23,0.26,209.82,0.21
1609795584.5575716,1,0.23,0.26,199.77,0.21
1609795585.4096174,1,0.23,0.26,195.72,0.21
1609795586.3142598,1,0.23,0.26,189.36,0.2
1609795587.1857216,1,0.21,0.24,182.17,0.19
1609795588.0701714,1,0.21,0.24,191.04,0.2
1609795588.9282293,1,0.23,0.26,197.73,0.21
1609795589.815996,1,0.23,0.26,200.0,0.21
1609795590.687455,1,0.23,0.26,212.05,0.22
1609795591.582899,1,0.21,0.24,201.97,0.21
1609795592.4463644,1,0.23,0.26,193.2,0.21
1609795593.3151457,1,0.23,0.26,197.84,0.21
1609795594.1141844,1,0.22,0.26,204.13,0.21
1609795595.0526812,1,0.21,0.24,197.42,0.2
1609795595.8289592,1,0.21,0.24,195.37,0.2
1609795596.6818664,1,0.21,0.24,197.42,0.2
1609795597.679911,1,0.23,0.27,182.89,0.2
1609795598.5454068,1,0.21,0.26,178.69,0.19
1609795599.4484515,1,0.21,0.24,191.04,0.2
1609795600.2959294,1,0.21,0.24,200.09,0.2
1609795601.1748962,1,0.23,0.27,202.87,0.21
1609795602.0539725,1,0.21,0.24,188.66,0.2
1609795602.9274287,1,0.23,0.26,198.18,0.21
1609795603.812176,1,0.21,0.24,174.29,0.19
1609795604.6905754,1,0.23,0.27,189.15,0.2
1609795605.6520379,1,0.23,0.26,189.04,0.2
1609795606.4415488,1,0.23,0.27,204.41,0.21
1609795607.3200645,1,0.23,0.26,197.73,0.21
1609795608.294724,1,0.23,0.26,195.28,0.21
1609795609.1805332,1,0.21,0.24,178.17,0.19
1609795610.0619853,1,0.23,0.26,193.31,0.21
1609795610.9188516,1,0.23,0.26,209.82,0.21
1609795611.8157914,1,0.23,0.26,197.84,0.21
1609795612.660878,1,0.21,0.24,188.43,0.2
1609795613.5460398,1,0.23,0.26,193.42,0.21
1609795614.4250364,1,0.21,0.24,178.38,0.19
1609795615.290207,1,0.23,0.27,193.31,0.21
1609795616.1662633,1,0.23,0.26,207.27,0.21
1609795617.0462904,1,0.23,0.26,209.22,0.21
1609795617.9423382,1,0.23,0.26,189.04,0.2
1609795618.7984293,1,0.23,0.26,197.73,0.21
1609795619.7705276,1,0.21,0.26,181.76,0.2
1609795620.681152,1,0.23,0.26,187.27,0.2
1609795621.5247996,1,0.23,0.26,190.94,0.2
1609795622.404024,1,0.23,0.26,214.57,0.22
1609795623.2839837,1,0.23,0.26,193.09,0.21
1609795624.2570143,1,0.23,0.26,169.66,0.19
1609795625.164449,1,0.23,0.27,175.05,0.2
1609795626.1224735,1,0.23,0.26,166.05,0.19
1609795627.1243055,1,0.23,0.26,156.32,0.18
1609795628.0932293,1,0.23,0.27,167.99,0.19
1609795628.9912615,1,0.21,0.24,153.59,0.18
1609795630.0014012,1,0.21,0.24,147.48,0.18
1609795630.958383,1,0.23,0.26,175.15,0.2
1609795631.9483542,1,0.23,0.26,174.95,0.2
1609795632.827732,1,0.21,0.26,163.98,0.19
1609795633.8077338,1,0.21,0.24,174.19,0.19
