t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1568151322.8391821,0,0,0.69,48.0
1568151323.7588294,0,0,0.69,48.0
1568151324.799801,0,0,0.69,48.0
1568151325.768415,0,0,0.69,48.0
1568151326.8133497,0,0,0.69,48.0
1568151327.8102648,0,0,0.69,48.0
1568151328.7772176,0,0,0.69,48.0
1568151329.865338,0,0,0.69,48.0
1568151330.853889,0,0,0.69,48.0
1568151331.85038,0,0,0.69,48.0
1568151332.8438413,0,0,0.69,48.0
1568151333.8469906,0,0,0.69,48.0
1568151334.8485656,1,0,0.69,2.91
1568151335.845333,3,0,0.69,196.72
1568151336.8393474,1,0,0.69,171.43
1568151337.8383179,0,1,0.69,171.43
1568151338.8332014,1,1,0.69,28.71
1568151339.873267,0,0,0.73,28.71
1568151340.857686,0,0,0.81,28.71
1568151341.8459907,1,0,0.81,19.77
1568151342.8506658,2,1,0.81,131.87
1568151343.8636725,0,1,0.81,131.87
1568151344.8674595,0,1,0.81,131.87
1568151345.8717985,0,1,0.81,131.87
1568151346.8770647,0,1,0.81,131.87
1568151347.90336,1,1,0.81,13.45
1568151348.878203,1,1,0.81,31.5
1568151349.9434683,0,1,0.81,31.5
1568151350.9438713,1,1,0.81,31.5
1568151351.9385762,0,1,0.81,31.5
1568151352.9452338,1,1,0.81,31.41
1568151353.9970112,2,1,0.81,93.75
1568151354.9729724,1,1,0.81,94.49
1568151355.956384,2,1,0.81,95.24
1568151356.9599388,1,1,0.81,95.24
1568151357.9534788,2,1,0.81,96.0
1568151358.9530892,2,1,0.81,95.24
1568151359.964147,1,1,0.81,95.24
1568151361.0264525,2,1,0.81,95.24
1568151361.9712915,1,1,0.81,96.0
1568151362.9926398,0,1,0.81,96.0
1568151363.973493,1,1,0.81,24.44
1568151364.974924,0,1,0.81,24.44
1568151366.049111,0,1,0.81,24.44
1568151367.0445373,0,1,0.81,24.44
1568151367.9807534,0,1,0.81,24.44
1568151369.0612931,0,1,0.81,24.44
1568151370.0450895,1,1,0.81,11.08
1568151371.0479913,0,1,0.81,11.08
1568151372.0470176,1,1,0.81,27.4
1568151373.0440748,1,1,0.81,104.35
1568151374.098726,0,1,0.81,104.35
1568151375.1046562,1,1,0.81,26.09
1568151376.1064012,2,2,0.81,104.35
1568151377.0775707,2,1,0.8,104.35
1568151378.09037,2,1,0.81,104.35
1568151379.1049173,1,1,0.81,106.19
1568151380.1038988,2,1,0.81,272.73
1568151381.0436587,1,1,0.81,44.12
1568151382.0480769,2,1,0.81,101.69
1568151383.1474297,1,1,0.81,101.69
1568151384.053585,2,1,0.81,173.91
1568151385.0753102,1,1,0.81,102.56
1568151386.0961988,1,1,0.8,34.68
1568151387.1388571,1,1,0.81,105.26
1568151388.132086,2,1,0.81,106.19
1568151389.1606555,1,1,0.81,107.14
1568151390.1747172,1,1,0.81,35.82
1568151391.1125042,1,1,0.81,108.11
1568151392.1354368,0,1,0.81,108.11
1568151393.1534374,2,1,0.81,107.14
1568151394.1692336,2,1,0.81,107.14
1568151395.1590343,2,1,0.81,108.11
1568151396.2019987,2,1,0.81,107.14
1568151397.2215767,1,1,0.81,107.14
1568151398.1340137,2,1,0.81,107.14
1568151399.164652,2,1,0.81,106.19
1568151400.1914196,2,1,0.81,106.19
1568151401.2140012,2,0,0.81,106.19
1568151402.1853068,1,1,0.81,255.32
1568151403.198425,0,1,0.81,255.32
1568151404.2092311,2,1,0.81,292.68
1568151405.229828,0,1,0.81,292.68
1568151406.243146,1,1,0.81,33.06
1568151407.2431974,0,1,0.81,33.06
1568151408.2549357,2,1,0.81,104.35
1568151409.2344322,1,1,0.81,104.35
1568151410.2540302,2,1,0.81,104.35
1568151411.2535725,1,1,0.81,105.26
1568151412.2543225,1,1,0.81,107.14
1568151413.2682428,1,1,0.81,36.92
1568151414.2429202,2,1,0.81,112.15
1568151415.2548258,2,1,0.81,112.15
1568151416.234941,2,1,0.81,113.21
1568151417.247547,0,1,0.81,113.21
1568151418.2601361,2,1,0.81,112.15
1568151419.2435858,2,1,0.81,110.09
1568151420.2679694,2,1,0.81,112.15
1568151421.260009,1,1,0.81,111.11
1568151422.264405,0,1,0.81,111.11
1568151423.2623787,1,1,0.81,27.91
1568151424.2710254,2,1,0.8,112.15
1568151425.2737563,1,1,0.81,112.15
1568151426.361314,1,1,0.81,112.15
1568151427.3641386,0,1,0.81,112.15
1568151428.3795552,2,1,0.81,113.21
1568151429.298177,2,0,0.81,112.15
1568151430.2903497,2,1,0.81,113.21
1568151431.3005254,2,1,0.81,113.21
1568151432.3049357,2,1,0.81,114.29
1568151433.3204541,2,1,0.81,113.21
1568151434.3412552,2,1,0.81,114.29
1568151435.3564065,1,1,0.81,113.21
1568151436.383811,2,1,0.81,114.29
1568151437.3913894,2,1,0.81,113.21
1568151438.4049115,2,1,0.81,113.21
1568151439.3337567,2,1,0.81,114.29
1568151440.3496246,1,1,0.81,57.14
1568151441.3662796,0,1,0.81,57.14
1568151442.3790877,2,1,0.81,196.72
1568151443.408723,1,1,0.81,105.26
1568151444.4215314,2,2,0.81,115.38
1568151445.4544868,0,1,0.8,115.38
1568151446.3735871,0,2,0.81,115.38
1568151447.3779922,1,1,0.81,19.67
1568151448.4038618,2,2,0.81,121.21
1568151449.4419932,1,1,0.81,122.45
1568151450.4626179,0,2,0.81,122.45
1568151451.3934007,1,1,0.81,30.85
1568151452.4237416,1,2,0.81,41.67
1568151453.4471633,0,1,0.81,41.67
1568151454.4738793,1,2,0.81,31.75
1568151455.4656115,2,2,0.81,127.66
1568151456.4662287,3,1,0.8,129.03
1568151457.472253,2,2,0.81,129.03
1568151458.4779797,2,1,0.81,130.43
1568151459.4986243,2,2,0.81,130.43
1568151460.5239913,2,1,0.81,129.03
1568151461.4442382,2,2,0.81,131.87
1568151462.4632597,3,1,0.81,129.03
1568151463.4928854,0,2,0.81,129.03
1568151464.5177674,1,2,0.81,32.79
1568151465.5483992,2,0,0.81,131.87
1568151466.464323,1,2,0.81,131.87
1568151467.4857645,2,1,0.81,206.9
1568151468.5200984,2,2,0.81,131.87
1568151469.5428371,2,1,0.81,133.33
1568151470.576141,2,2,0.81,133.33
1568151471.587567,3,2,0.81,133.33
1568151472.5031397,2,1,0.81,134.83
1568151473.5340223,3,2,0.81,235.29
1568151474.5644221,0,1,0.81,235.29
1568151475.5852523,3,2,0.81,134.83
1568151476.6119292,2,1,0.81,134.83
1568151477.5335653,2,2,0.81,136.36
1568151478.5621731,2,1,0.81,136.36
1568151479.581511,3,2,0.81,136.36
1568151480.613133,2,2,0.81,139.53
1568151481.6395545,2,1,0.81,137.93
1568151482.569051,1,2,0.81,74.53
1568151483.598482,0,1,0.81,74.53
1568151484.6300697,2,2,0.81,137.93
1568151485.5571077,3,2,0.81,141.18
1568151486.570942,2,1,0.81,142.86
1568151487.583918,3,2,0.81,142.86
1568151488.600743,2,1,0.81,142.86
1568151489.6270883,1,2,0.81,142.86
1568151490.659463,2,2,0.81,144.58
1568151491.688909,2,1,0.81,203.39
1568151492.6008937,2,2,0.81,176.47
