t,hb,pedal,resistance,hb_bpm
1551232770.1523998,0,1,0.22,25.2
1551232771.1367218,2,1,0.22,25.2
1551232772.121145,3,1,0.22,24.9
1551232773.2304761,2,1,0.22,24.6
1551232774.0898707,2,1,0.21,25.2
1551232775.1523921,6,1,0.21,17.1
1551232776.1679804,2,1,0.22,25.5
1551232777.1382515,3,1,0.22,24.3
1551232778.1226096,2,0,0.22,24.9
1551232779.106966,3,1,0.22,24.6
1551232780.2007174,2,1,0.22,24.9
1551232781.185094,3,1,0.22,24.6
1551232782.1694698,3,1,0.22,12.9
1551232783.1538472,2,1,0.22,8.4
1551232784.1382434,0,1,0.22,8.4
1551232785.231998,2,1,0.22,24.6
1551232786.2163992,2,1,0.22,24.3
1551232787.2021916,1,1,0.22,49.5
1551232788.1865692,0,1,0.22,49.5
1551232789.1709468,8,1,0.22,4.8
1551232790.264694,0,2,0.22,4.8
1551232791.2490816,1,2,0.22,121.8
1551232792.233455,2,1,0.22,24.0
1551232793.2178118,2,0,0.22,24.3
1551232794.2021987,5,1,0.22,9.0
1551232795.1865315,5,0,0.22,22.5
1551232796.2803228,6,0,0.22,6.9
1551232797.2659764,9,0,0.22,2.4
1551232798.2503786,4,0,0.22,1.5
1551232799.2347593,5,0,0.22,23.7
1551232800.219104,5,0,0.22,14.4
1551232801.312837,10,0,0.22,10.2
1551232802.2972407,10,1,0.22,8.4
1551232803.2816095,9,0,0.22,2.7
