t,hb,pedal,resistance,hb_bpm
1551320549.7291677,3,1,0.26,230.77
1551320550.760386,1,1,0.26,101.69
1551320551.7447853,0,0,0.26,101.69
1551320552.7760477,2,0,0.27,129.03
1551320553.744782,1,1,0.27,129.03
1551320554.7291565,0,1,0.26,129.03
1551320555.7916522,2,1,0.27,113.21
1551320556.7760332,1,1,0.26,57.14
1551320557.7760406,1,1,0.26,58.25
1551320558.744789,1,1,0.26,58.54
1551320559.7447925,0,2,0.26,58.54
1551320560.7760434,1,1,0.26,29.93
1551320561.8072937,2,1,0.26,116.5
1551320562.8541696,2,1,0.26,118.81
1551320563.796192,2,0,0.26,155.84
1551320564.7773414,1,1,0.26,173.91
1551320565.7773046,1,1,0.27,46.88
1551320566.7973707,0,1,0.26,46.88
1551320567.7817805,1,1,0.27,30.0
1551320568.781784,0,1,0.27,30.0
1551320569.8911605,2,1,0.26,121.21
1551320570.797409,1,1,0.26,60.0
1551320571.8755383,1,1,0.27,121.21
1551320572.8755028,1,1,0.26,61.22
1551320573.891168,2,1,0.26,126.32
1551320574.8442562,2,1,0.27,125.0
1551320575.8130062,2,1,0.26,130.43
1551320576.9067945,1,1,0.27,43.48
1551320577.8286426,2,1,0.26,134.83
1551320578.8755105,2,1,0.27,134.83
1551320579.8599217,2,1,0.26,136.36
1551320580.859928,2,1,0.26,136.36
1551320581.953678,0,1,0.26,136.36
1551320582.9223917,2,1,0.26,136.36
1551320583.9067678,2,1,0.27,139.53
1551320584.8911803,2,1,0.27,139.53
1551320585.9224355,2,1,0.26,137.93
1551320586.9224327,3,1,0.26,139.53
1551320587.8911877,2,1,0.27,137.93
1551320588.8911912,2,0,0.26,137.93
1551320590.000591,1,1,0.26,136.36
1551320590.8911912,2,1,0.27,137.93
1551320591.9537232,2,1,0.27,134.83
1551320593.0005713,1,1,0.26,68.57
1551320593.9068186,1,1,0.26,45.45
1551320595.0005744,2,1,0.26,136.36
1551320595.953696,2,1,0.26,141.18
1551320596.9693265,2,1,0.26,137.93
1551320598.016164,0,0,0.26,137.93
1551320598.9536657,0,1,0.26,137.93
1551320600.0020561,1,1,0.26,19.87
1551320600.9863982,1,1,0.26,46.69
1551320601.9551542,3,1,0.26,142.86
1551320603.0020626,3,1,0.26,142.86
1551320604.0489414,2,1,0.26,142.86
1551320605.0333161,3,1,0.26,144.58
1551320606.0177076,2,1,0.26,141.18
1551320607.002081,6,0,0.26,279.07
1551320608.0801957,2,1,0.26,279.07
1551320609.064569,0,1,0.26,279.07
