t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1565912152.8552034,0,0,0.03,80.0
1565912153.8780937,1,0,0.03,38.34
1565912154.8456113,0,0,0.03,38.34
1565912155.8863266,0,0,0.03,38.34
1565912156.8709214,0,0,0.03,38.34
1565912157.8402858,2,0,0.03,206.9
1565912158.905539,2,0,0.03,266.67
1565912159.869115,0,0,0.03,266.67
1565912160.894022,1,0,0.03,57.14
1565912161.8583689,0,0,0.03,57.14
1565912162.89034,0,0,0.03,57.14
1565912163.9358356,1,0,0.03,33.99
1565912164.8805099,0,0,0.03,33.99
1565912165.9147038,0,0,0.03,33.99
1565912166.9511259,0,0,0.03,33.99
1565912167.9324627,1,0,0.03,200.0
1565912168.9014094,2,0,0.03,200.0
1565912169.9431207,1,0,0.03,200.0
1565912170.9850788,0,0,0.03,200.0
1565912171.9273996,1,0,0.03,44.44
1565912172.9590666,0,0,0.03,44.44
1565912173.9326866,0,0,0.03,44.44
1565912175.0085163,0,0,0.03,44.44
1565912175.9822264,0,0,0.03,44.44
1565912176.9269936,2,0,0.03,206.9
1565912177.9784603,1,0,0.03,196.72
1565912179.0166368,2,0,0.03,292.68
1565912179.9900305,1,0,0.03,44.44
1565912180.9696352,0,0,0.03,44.44
1565912182.042224,0,0,0.03,44.44
1565912182.9792306,0,0,0.03,44.44
1565912184.0292964,0,0,0.03,44.44
1565912184.9750142,2,0,0.03,206.9
1565912186.038119,0,0,0.03,206.9
1565912187.0775666,1,0,0.03,30.53
1565912188.0098705,0,0,0.03,30.53
1565912189.0784817,0,0,0.03,30.53
1565912190.0229838,0,0,0.03,30.53
1565912191.0740151,0,0,0.03,30.53
1565912192.0464532,0,0,0.03,30.53
1565912193.0177822,0,0,0.04,30.53
1565912194.059505,1,0,0.03,266.67
1565912195.0275435,1,0,0.03,57.14
1565912196.097744,0,0,0.03,57.14
1565912197.0330632,0,0,0.03,57.14
1565912198.0679085,2,0,0.03,218.18
1565912199.1021678,2,0,0.03,101.69
1565912200.0742648,2,0,0.03,266.67
1565912201.1411083,0,0,0.03,266.67
1565912202.106801,3,0,0.03,266.67
1565912203.137518,0,0,0.03,266.67
1565912204.1025405,0,0,0.03,266.67
1565912205.135629,2,0,0.03,176.47
1565912206.10155,2,0,0.03,250.0
1565912207.1522744,0,0,0.03,250.0
1565912208.0841134,0,0,0.03,250.0
1565912209.1243505,3,0,0.03,184.62
1565912210.1355894,2,0,0.03,218.18
1565912211.1695566,1,0,0.03,218.18
1565912212.1386802,1,0,0.03,88.89
1565912213.1756713,1,0,0.03,101.69
1565912214.147689,1,0,0.03,230.77
1565912215.1175997,1,0,0.03,48.0
1565912216.1876144,1,0,0.03,218.18
1565912217.1569324,4,0,0.03,235.29
1565912218.2283766,0,0,0.03,235.29
1565912219.2011366,2,0,0.03,160.0
1565912220.2299328,2,0,0.03,266.67
1565912221.1907616,2,0,0.03,266.67
1565912222.173795,0,0,0.03,266.67
1565912223.2018783,1,0,0.03,50.0
1565912224.1671226,0,0,0.03,50.0
1565912225.2328973,2,0,0.03,250.0
1565912226.2023127,2,0,0.03,250.0
1565912227.2681658,1,0,0.03,61.54
1565912228.238536,2,0,0.03,240.0
1565912229.2035131,0,0,0.03,240.0
1565912230.2693605,2,0,0.03,206.9
1565912231.2301555,2,0,0.03,292.68
1565912232.297944,1,0,0.03,48.58
1565912233.269823,1,0,0.03,109.09
1565912234.2449617,0,0,0.03,109.09
1565912235.2197566,0,0,0.03,109.09
1565912236.2875528,0,0,0.03,109.09
1565912237.2650032,1,0,0.03,218.18
1565912238.329767,2,0,0.03,250.0
1565912239.3058324,0,0,0.03,250.0
1565912240.2780628,1,0,0.03,41.38
1565912241.2495153,1,0,0.03,171.43
1565912242.32076,2,0,0.03,218.18
1565912243.3505304,1,0,0.03,104.35
1565912244.313385,1,0,0.03,46.69
1565912245.2798204,1,0,0.03,55.05
1565912246.3477106,3,0,0.03,250.0
1565912247.2864704,1,0,0.03,300.0
1565912248.3590443,1,0,0.03,50.0
1565912249.3771465,0,0,0.03,50.0
1565912250.3243935,0,0,0.03,50.0
1565912251.3579457,1,0,0.03,235.29
1565912252.391283,1,0,0.03,54.55
1565912253.3522894,0,0,0.03,54.55
1565912254.3126888,0,0,0.03,54.55
1565912255.3549685,0,0,0.03,54.55
1565912256.3316433,1,0,0.03,111.11
1565912257.3687525,2,0,0.03,122.45
1565912258.3402176,0,0,0.03,122.45
1565912259.409876,0,0,0.03,122.45
1565912260.3761206,0,0,0.03,122.45
1565912261.4106662,2,0,0.03,206.9
1565912262.3802788,1,0,0.03,60.0
1565912263.4228675,0,0,0.03,60.0
1565912264.3901348,1,0,0.03,46.15
1565912265.4597673,0,0,0.03,46.15
1565912266.417938,1,0,0.03,292.68
1565912267.3862772,2,0,0.03,250.0
1565912268.449671,1,0,0.03,101.69
1565912269.418858,2,0,0.03,160.0
1565912270.3944051,0,0,0.03,160.0
1565912271.4359045,2,0,0.03,292.68
1565912272.4125323,2,0,0.03,266.67
1565912273.503847,1,0,0.03,240.0
1565912274.4820633,3,0,0.03,240.0
1565912275.4556684,2,0,0.03,122.45
1565912276.508666,0,0,0.03,122.45
1565912277.4760609,2,0,0.03,141.18
1565912278.441475,2,0,0.03,160.0
1565912279.5110269,3,0,0.03,266.67
1565912280.4743063,1,0,0.03,206.9
1565912281.5432305,2,0,0.03,166.67
1565912282.5152247,0,0,0.03,166.67
1565912283.4874547,1,0,0.03,46.15
1565912284.5248334,0,0,0.03,46.15
1565912285.4902499,0,0,0.03,46.15
1565912286.5272439,2,0,0.03,136.36
1565912287.565128,1,0,0.03,52.17
1565912288.5369387,1,0,0.03,218.18
1565912289.5104456,1,0,0.03,57.14
1565912290.5838475,1,0,0.03,218.18
1565912291.5192606,1,0,0.03,57.14
1565912292.5919302,0,0,0.03,57.14
1565912293.5603707,2,0,0.03,218.18
1565912294.5293055,1,0,0.03,200.0
1565912295.596559,1,0,0.03,46.15
1565912296.5670662,1,0,0.03,266.67
1565912297.5330014,3,0,0.03,250.0
1565912298.546446,1,0,0.03,300.0
1565912299.5832164,1,0,0.03,40.0
1565912300.5596461,2,0,0.03,176.47
1565912301.6278543,3,0,0.03,160.0
1565912302.6014147,2,0,0.03,86.96
1565912303.5732286,2,0,0.03,122.45
1565912304.6434276,1,0,0.03,166.67
1565912305.6159015,1,0,0.03,44.44
1565912306.5915291,3,0,0.03,292.68
1565912307.6239002,0,0,0.03,292.68
1565912308.5924852,2,0,0.03,218.18
1565912309.6598253,3,0,0.03,200.0
1565912310.625031,1,0,0.03,148.15
1565912311.6942303,2,0,0.03,266.67
