t,hb,pedal,resistance,hb_bpm
1551233024.3954391,1,1,0.22,20.4
1551233025.4179473,7,0,0.22,2.7
1551233026.3398457,4,1,0.22,1.5
1551233027.3711035,2,1,0.22,6.6
1551233028.4492235,9,0,0.22,1.5
1551233029.4335973,0,1,0.22,1.5
1551233030.3554785,2,1,0.22,39.3
1551233031.4492276,2,0,0.22,18.0
1551233032.433568,3,1,0.22,2.7
1551233033.402356,3,1,0.22,41.1
1551233034.4023573,1,0,0.22,50.7
1551233035.3867354,2,1,0.22,21.0
1551233036.3867335,1,1,0.22,45.3
1551233037.45075,5,0,0.22,6.6
1551233038.481983,1,1,0.22,1.2
1551233039.4351103,0,0,0.22,1.2
1551233040.4194915,2,0,0.22,28.8
1551233041.4351103,9,1,0.22,1.5
1551233042.4351203,6,1,0.22,2.1
1551233043.5288723,7,0,0.22,16.5
1551233044.4351203,7,1,0.22,12.0
1551233045.4507449,2,1,0.22,24.9
1551233046.5288763,11,0,0.22,1.5
1551233047.545938,4,1,0.22,8.1
1551233048.4990897,1,1,0.22,29.1
