t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551925112.079457,0,0,0.64,27.76
1551925112.9857078,0,0,0.64,27.76
1551925114.0638342,0,0,0.64,27.76
1551925114.9857101,0,0,0.64,27.76
1551925116.1107156,0,0,0.64,27.76
1551925117.0794652,0,0,0.64,27.76
1551925118.0169656,0,0,0.64,27.76
1551925119.0638413,0,0,0.64,27.76
1551925120.0013425,0,0,0.64,27.76
1551925121.0950952,0,1,0.64,27.76
1551925122.048256,0,0,0.64,27.76
1551925123.0950973,0,1,0.64,27.76
1551925124.063849,0,0,0.64,27.76
1551925125.141979,0,0,0.64,27.76
1551925126.0951033,0,0,0.64,27.76
1551925127.0482664,0,0,0.64,27.76
1551925128.1263547,0,0,0.64,27.76
1551925129.0794814,1,0,0.64,0.59
1551925130.1888964,1,0,0.64,96.0
1551925131.18892,1,0,0.62,210.53
1551925132.1264226,2,0,0.62,109.09
1551925133.1888957,1,0,0.62,75.47
1551925134.1037154,0,0,0.62,75.47
1551925135.1974707,0,0,0.62,75.47
1551925136.1037188,0,0,0.62,75.47
1551925137.1662202,1,1,0.62,17.52
1551925138.1350298,1,1,0.62,96.77
1551925139.213155,1,1,0.62,38.59
1551925140.1350117,0,1,0.62,38.59
1551925141.197536,1,1,0.62,292.68
1551925142.1350405,2,1,0.62,94.49
1551925143.2301085,0,1,0.62,94.49
1551925144.1676242,2,0,0.62,240.0
1551925145.1520073,0,0,0.62,240.0
1551925146.2145228,0,0,0.62,240.0
