t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551407061.3328729,0,1,0.24,62.18
1551407062.4266603,0,1,0.24,62.18
1551407063.3016584,0,1,0.24,62.18
1551407064.411026,2,1,0.24,118.81
1551407065.3172789,1,1,0.24,117.65
1551407066.3797784,1,1,0.24,39.6
1551407067.3953705,1,1,0.24,118.81
1551407068.3329117,0,1,0.24,118.81
1551407069.3485394,1,1,0.24,30.15
1551407070.4110398,0,1,0.24,30.15
1551407071.3954184,2,1,0.24,121.21
1551407072.3797915,1,1,0.24,58.82
1551407073.3812113,2,1,0.24,120.0
1551407074.3968391,2,1,0.24,121.21
1551407075.4124262,1,1,0.24,125.0
1551407076.4436765,1,1,0.24,41.1
1551407077.3812168,2,1,0.24,126.32
1551407078.4280937,2,0,0.24,129.03
1551407079.3811867,1,1,0.24,130.43
