t,hb,pedal,resistance
1551044544.4304087,0,0,0.04
1551044545.430411,0,0,0.04
1551044546.4147875,2,0,0.03
1551044547.3991625,0,0,0.04
1551044548.3679142,0,0,0.04
1551044549.4616656,0,0,0.03
1551044550.4460423,0,0,0.03
1551044551.4304733,0,0,0.04
1551044552.4148703,0,0,0.04
1551044553.399172,7,0,0.03
1551044554.3835473,3,0,0.07
1551044555.4772992,5,0,0.11
1551044556.4617252,3,0,0.11
1551044557.4460526,0,0,0.12
1551044558.4304295,0,0,0.12
1551044559.4148057,2,0,0.16
1551044560.5086327,0,0,0.25
1551044561.4930124,3,0,0.34
1551044562.4773104,7,0,0.43
1551044563.4616868,4,0,0.52
1551044564.446063,1,0,0.61
1551044565.5398858,1,0,0.62
1551044566.524192,3,0,0.62
1551044567.5086398,2,0,0.58
1551044568.4930227,2,0,0.53
1551044569.4773932,7,0,0.54
1551044570.4773216,8,0,0.49
1551044571.5555208,2,0,0.44
1551044572.5398257,2,0,0.37
1551044573.5242019,5,0,0.35
1551044574.5085788,3,0,0.32
1551044575.4929547,0,0,0.25
1551044576.5867064,3,0,0.18
1551044577.571083,2,0,0.12
1551044578.5555332,0,0,0.06
1551044579.5554612,2,0,0.04
1551044580.5398386,0,0,0.04
1551044581.6211333,4,0,0.04
1551044582.605508,0,0,0.04
1551044583.6054354,1,0,0.04
1551044584.5898123,0,0,0.04
1551044585.5742598,2,0,0.04
1551044586.5430188,4,0,0.04
1551044587.6366932,3,0,0.04
1551044588.6211424,0,0,0.04
1551044589.6054435,5,0,0.04
1551044590.6054459,8,0,0.04
1551044591.589823,2,0,0.04
1551044592.683574,2,0,0.04
