t,hb,pedal,resistance,hb_bpm
1551233148.03018,6,0,0.22,2.7
1551233149.0145636,3,0,0.22,1.2
1551233149.9989517,0,0,0.22,1.2
1551233150.983304,3,0,0.22,5.1
1551233151.9676843,1,0,0.22,39.0
1551233153.0614586,2,0,0.22,37.8
1551233154.077039,1,1,0.22,37.5
1551233155.045832,0,0,0.22,37.5
1551233156.0145748,0,2,0.22,37.5
1551233157.0004387,0,0,0.22,37.5
1551233158.000442,0,0,0.25,37.5
1551233159.0785632,0,0,0.34,37.5
1551233160.0161011,0,0,0.39,37.5
1551233161.0629473,0,0,0.39,37.5
1551233162.0473275,0,1,0.39,37.5
1551233163.031696,0,0,0.39,37.5
1551233164.1254842,0,0,0.37,37.5
1551233165.0473232,0,0,0.35,37.5
1551233166.0473275,0,0,0.35,37.5
1551233167.0486968,0,0,0.36,37.5
1551233168.0643084,0,0,0.34,37.5
1551233169.0955577,0,0,0.34,37.5
1551233170.1423995,0,0,0.34,37.5
1551233171.0486503,2,0,0.34,6.6
1551233172.1111913,1,1,0.34,74.7
1551233173.095569,2,1,0.34,42.9
1551233174.1192672,1,1,0.34,41.4
1551233175.072389,2,1,0.34,42.3
1551233176.1505158,1,0,0.34,6.9
1551233177.0880203,1,1,0.34,74.4
1551233178.1661673,0,1,0.34,74.4
1551233179.1036468,2,1,0.34,4.8
1551233180.2130218,1,1,0.34,78.6
1551233181.1817708,0,1,0.34,78.6
1551233182.1817403,2,1,0.34,25.2
1551233183.1504898,0,2,0.34,25.2
1551233184.150529,0,1,0.34,25.2
1551233185.1661172,0,2,0.34,25.2
1551233186.1661541,2,1,0.34,1.8
1551233187.2299936,1,2,0.34,64.5
1551233188.1517985,0,1,0.34,64.5
1551233189.1518316,0,1,0.34,64.5
1551233190.1674612,0,2,0.34,64.5
1551233191.2612112,1,1,0.34,269.4
1551233192.1754978,2,1,0.34,17.1
1551233193.2238145,13,2,0.34,1.5
1551233194.1925635,2,1,0.34,39.0
1551233195.1925657,2,2,0.34,38.1
1551233196.286317,1,1,0.33,38.4
1551233197.246906,2,1,0.34,37.2
1551233198.2312841,1,2,0.34,37.8
1551233199.2625027,3,1,0.34,24.6
1551233200.2156663,2,1,0.34,37.2
1551233201.2469163,1,2,0.34,37.2
1551233202.293792,2,1,0.34,37.8
1551233203.2156684,1,2,0.34,37.5
1551233204.24692,2,1,0.34,37.8
1551233205.246937,2,1,0.34,37.8
1551233206.2469275,1,2,0.34,37.8
1551233207.3107407,2,1,0.34,37.8
1551233208.295155,6,1,0.34,1.8
1551233209.279531,6,1,0.34,11.7
1551233210.2795331,0,0,0.34,11.7
