t,pedal_cnt,resist_pct,tgt_resist_pct,power,work
1609796613.226188,1,0.23,0.24,0.0,0.0
1609796615.53076,1,0.25,0.26,32.27,0.09
1609796617.0509045,1,0.25,0.26,67.02,0.12
1609796618.3900142,1,0.25,0.26,91.52,0.14
1609796619.568038,1,0.25,0.26,109.86,0.16
1609796620.6900485,1,0.25,0.26,125.06,0.17
1609796621.984053,1,0.25,0.26,111.94,0.16
1609796623.3092291,1,0.25,0.26,78.87,0.13
1609796626.2675076,1,0.25,0.26,18.47,0.07
1609796629.560464,1,0.25,0.26,15.58,0.06
1609796643.6708722,1,0.25,0.26,0.0,0.0
1609796645.6231875,1,0.25,0.26,44.18,0.1
1609796646.9593594,1,0.25,0.26,89.82,0.14
1609796648.2822983,1,0.23,0.27,92.89,0.14
1609796649.577776,1,0.25,0.26,86.56,0.14
1609796651.1207745,1,0.25,0.26,74.55,0.13
1609796652.7478971,1,0.25,0.26,61.35,0.12
1609796654.8460422,1,0.25,0.26,34.87,0.09
1609796657.1517289,1,0.25,0.26,29.16,0.08
1609796660.8759568,1,0.25,0.26,12.25,0.05
1609796663.8310826,1,0.25,0.26,18.28,0.06
1609796666.0317233,1,0.25,0.26,33.63,0.09
1609796667.9005613,1,0.25,0.26,41.68,0.1
1609796669.5095627,1,0.25,0.26,67.56,0.12
1609796670.853728,1,0.25,0.26,91.17,0.14
1609796672.282843,1,0.25,0.26,75.62,0.13
1609796680.916891,1,0.23,0.24,2.07,0.02
1609796683.9965732,1,0.25,0.26,16.25,0.06
1609796686.2711656,1,0.25,0.26,32.67,0.09
1609796687.9331362,1,0.25,0.26,53.27,0.11
1609796689.458192,1,0.25,0.26,77.24,0.13
1609796690.7613828,1,0.25,0.26,92.51,0.15
1609796691.9796317,1,0.25,0.26,102.29,0.15
1609796693.9398537,1,0.23,0.24,40.34,0.09
1609796700.753247,1,0.25,0.26,3.45,0.03
1609796714.8082294,1,0.23,0.24,0.0,0.0
1609796716.5841274,1,0.25,0.26,51.8,0.11
1609796717.8668811,1,0.25,0.26,103.16,0.15
1609796718.9569702,1,0.25,0.26,133.07,0.17
1609796720.0755887,1,0.25,0.26,129.72,0.17
1609796721.2914984,1,0.25,0.26,111.88,0.16
1609796722.4805987,1,0.23,0.24,109.84,0.15
1609796723.7897823,1,0.25,0.26,93.26,0.15
1609796727.069375,1,0.25,0.24,14.53,0.06
1609796731.0169172,1,0.24,0.26,10.25,0.05
1609796739.8848386,1,0.25,0.26,2.04,0.02
1609796741.2218685,1,0.23,0.26,84.06,0.14
1609796742.3126743,1,0.25,0.26,143.53,0.18
1609796743.3180475,1,0.25,0.26,153.26,0.19
1609796744.2784536,1,0.25,0.26,161.28,0.19
1609796745.2808309,1,0.25,0.26,165.96,0.2
1609796746.2832086,1,0.25,0.26,166.22,0.2
1609796747.2436137,1,0.25,0.26,162.64,0.19
1609796748.3519251,1,0.25,0.26,149.11,0.19
1609796749.5351927,1,0.25,0.26,111.7,0.16
1609796753.385806,1,0.23,0.24,10.13,0.05
1609796767.5310855,1,0.25,0.26,0.0,0.0
1609796771.6837387,1,0.25,0.26,9.4,0.05
1609796773.3351326,1,0.25,0.26,58.49,0.12
1609796774.4424925,1,0.23,0.24,127.49,0.17
1609796775.4068012,1,0.23,0.26,147.93,0.18
1609796776.5016634,1,0.23,0.24,142.7,0.18
1609796777.3971064,1,0.25,0.26,171.41,0.2
1609796778.375167,1,0.25,0.26,161.28,0.19
1609796779.456495,1,0.25,0.26,142.11,0.18
1609796780.5468178,1,0.25,0.26,159.59,0.19
1609796781.5212123,1,0.25,0.26,148.95,0.19
1609796782.5475779,1,0.25,0.26,149.11,0.19
1609796784.296493,1,0.23,0.24,52.92,0.11
1609796813.5397286,1,0.33,0.37,0.0,0.0
1609796814.771963,1,0.31,0.34,108.54,0.17
1609796815.8762765,1,0.33,0.37,152.75,0.2
1609796817.0326123,1,0.31,0.34,146.52,0.19
1609796818.2519157,1,0.31,0.37,122.63,0.18
1609796819.704222,1,0.33,0.37,87.84,0.15
1609796820.9132173,1,0.33,0.37,118.73,0.18
1609796822.1021738,1,0.34,0.37,134.29,0.19
1609796823.3274176,1,0.33,0.37,140.05,0.19
1609796824.4966924,1,0.33,0.37,127.65,0.19
1609796846.9693718,1,0.33,0.37,0.0,0.0
1609796849.5045688,1,0.33,0.37,28.84,0.09
1609796851.7834566,1,0.34,0.37,35.81,0.1
1609796854.1748788,1,0.31,0.34,32.67,0.09
1609796856.615194,1,0.31,0.34,29.61,0.09
1609796859.4592612,1,0.33,0.37,23.68,0.08
1609796862.4204407,1,0.33,0.37,22.05,0.08
1609796865.8343387,1,0.33,0.37,15.73,0.07
