t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551836088.5990708,1,0,0.63,26.49
1551836089.6303163,0,0,0.64,26.49
1551836090.6303122,0,0,0.64,26.49
1551836091.6146564,0,0,0.64,26.49
1551836092.6772141,0,0,0.64,26.49
1551836093.647397,1,0,0.64,12.13
1551836094.5848987,1,0,0.64,292.68
1551836095.6713111,0,0,0.64,292.68
1551836096.6244485,2,0,0.64,255.32
1551836097.608843,0,0,0.64,255.32
1551836098.6400714,2,0,0.64,266.67
1551836099.7338254,1,0,0.64,68.18
1551836100.6713252,0,0,0.64,68.18
1551836101.749457,1,0,0.64,44.78
1551836102.7025478,0,0,0.64,44.78
1551836103.640087,1,0,0.64,42.86
1551836104.7182086,0,1,0.64,42.86
1551836105.7025867,1,1,0.64,41.67
1551836106.686962,0,1,0.64,41.67
1551836107.6557128,0,1,0.64,41.67
1551836108.6883821,0,1,0.64,41.67
1551836109.735237,0,2,0.64,41.67
1551836110.7039921,0,1,0.64,41.67
1551836111.7821162,0,2,0.64,41.67
1551836112.7352057,0,2,0.64,41.67
1551836113.688369,0,2,0.64,41.67
1551836114.7508764,0,1,0.64,41.67
1551836115.7821226,0,2,0.64,41.67
1551836116.7196205,0,2,0.64,41.67
1551836117.7196229,0,2,0.64,41.67
1551836118.813341,0,1,0.64,41.67
1551836119.7665095,0,2,0.64,41.67
1551836120.7123933,0,2,0.64,41.67
1551836121.7748942,0,2,0.64,41.67
1551836122.8614383,0,1,0.64,41.67
1551836123.8302007,0,2,0.64,41.67
1551836124.7989535,1,2,0.64,109.09
1551836125.7676623,1,1,0.64,56.34
1551836126.75208,2,2,0.64,115.38
1551836127.7677097,1,1,0.64,113.21
1551836128.7677236,2,1,0.57,117.65
1551836129.8614752,2,2,0.64,162.16
1551836130.8145823,2,1,0.64,116.5
1551836131.783296,2,1,0.64,117.65
1551836132.8457994,1,1,0.64,118.81
1551836133.798962,1,2,0.64,59.11
1551836134.8770933,0,1,0.64,59.11
1551836135.8145914,3,1,0.64,148.15
1551836136.7989905,1,1,0.64,121.21
1551836137.8473177,1,2,0.64,60.0
1551836138.925445,1,1,0.64,120.0
1551836139.8785331,2,1,0.64,122.45
1551836140.8472857,3,2,0.64,123.71
1551836141.9097855,2,1,0.64,125.0
1551836142.8629465,2,1,0.64,125.0
1551836143.9410772,2,1,0.64,125.0
1551836144.8942094,2,1,0.64,123.71
1551836145.9098313,2,2,0.64,123.71
1551836146.86296,2,1,0.64,126.32
1551836147.9410796,0,1,0.64,126.32
1551836148.9098334,1,1,0.64,36.14
1551836149.8629591,0,1,0.64,36.14
1551836150.956715,0,1,0.64,36.14
1551836151.9254642,1,1,0.64,17.49
1551836152.8957362,0,2,0.64,17.49
1551836153.9738598,1,1,0.64,40.27
1551836154.958235,0,1,0.64,40.27
1551836155.9894922,0,1,0.64,40.27
1551836156.9582357,3,1,0.64,130.43
1551836157.9426363,2,1,0.64,130.43
1551836158.9269924,2,1,0.64,133.33
1551836160.0479352,0,1,0.64,133.33
