t,hb,pedal,resistance,hb_bpm
1551232825.4176252,2,0,0.22,27.6
1551232826.4020014,2,0,0.22,27.3
1551232827.4971192,2,0,0.22,27.9
1551232828.3565345,3,0,0.22,27.9
1551232829.4033728,2,0,0.22,27.9
1551232830.356536,2,1,0.22,28.2
1551232831.4190376,2,0,0.22,28.5
1551232832.4190395,2,0,0.22,29.4
1551232833.4034083,2,1,0.22,30.3
1551232834.3721652,2,0,0.22,30.3
1551232835.4659212,2,0,0.22,30.6
1551232836.4659188,2,0,0.22,30.0
1551232837.4517474,2,1,0.22,30.0
1551232838.4673603,2,0,0.22,30.3
1551232839.420485,2,1,0.22,30.6
1551232840.4048612,2,0,0.22,30.9
1551232841.4517384,2,1,0.22,30.9
1551232842.467361,2,1,0.22,31.2
1551232843.4361172,2,1,0.22,30.0
1551232844.4986157,2,1,0.22,30.3
1551232845.4986153,11,1,0.22,11.1
1551232846.4986176,2,2,0.22,2.4
1551232847.5000527,2,0,0.21,20.4
1551232848.500055,1,2,0.22,41.7
1551232849.5156455,1,1,0.22,82.8
1551232850.5781472,5,0,0.22,6.9
1551232851.46881,3,0,0.22,15.0
1551232852.5469384,1,1,0.22,43.2
1551232853.531313,1,0,0.22,44.7
1551232854.531319,2,0,0.22,46.2
1551232855.5000691,2,0,0.22,5.1
1551232856.5313323,2,0,0.22,3.3
1551232857.5639987,1,0,0.22,50.4
1551232858.5952141,1,0,0.22,52.5
1551232859.5327508,7,0,0.22,5.4
1551232860.5171297,1,0,0.22,55.2
1551232861.5796177,3,0,0.22,31.2
1551232862.5327585,3,0,0.22,31.5
1551232863.5952566,1,0,0.22,53.1
1551232864.6421344,11,0,0.22,7.8
1551232865.5952632,2,0,0.22,6.0
1551232866.6108856,4,0,0.22,9.0
1551232867.627933,0,1,0.22,9.0
1551232868.627935,1,1,0.22,111.6
1551232869.6279387,2,1,0.22,10.5
1551232870.6279373,3,0,0.22,18.9
1551232871.581082,0,0,0.22,18.9
1551232872.5810652,0,1,0.22,18.9
1551232873.659193,1,0,0.22,176.7
1551232874.6414952,0,0,0.22,176.7
1551232875.6102424,0,0,0.22,176.7
1551232876.610246,2,0,0.22,1.5
