t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1566312785.4927385,0,0,0.36,0.61
1566312786.5244455,0,0,0.37,0.61
1566312787.5232325,0,0,0.37,0.61
1566312788.554052,1,0,0.37,0.33
1566312789.5098207,2,0,0.37,226.42
1566312790.5426452,1,0,0.37,129.03
1566312791.5479257,0,0,0.37,129.03
1566312792.5781703,0,0,0.37,129.03
1566312793.5455172,0,0,0.37,129.03
1566312794.6035595,0,0,0.37,129.03
1566312795.6039503,0,0,0.37,129.03
1566312796.627866,0,0,0.37,129.03
1566312797.5736022,1,0,0.37,8.76
1566312798.5635715,2,0,0.37,171.43
1566312799.6245224,1,0,0.37,100.0
1566312800.624747,1,0,0.37,226.42
1566312801.570522,1,0,0.37,66.67
1566312802.5940747,1,0,0.37,70.59
1566312803.5920708,2,0,0.37,129.03
1566312804.6589162,2,0,0.37,157.89
1566312805.6604338,2,0,0.37,133.33
1566312806.6236176,1,0,0.37,150.0
1566312807.612926,0,0,0.37,150.0
1566312808.6110127,0,0,0.37,150.0
1566312809.6152325,0,0,0.37,150.0
1566312810.6753407,2,0,0.37,300.0
1566312811.7143369,1,0,0.37,111.11
1566312812.7307634,1,0,0.37,171.43
1566312813.7177079,0,0,0.37,171.43
1566312814.7234325,0,0,0.37,171.43
1566312815.641346,0,0,0.37,171.43
1566312816.7088103,0,0,0.37,171.43
1566312817.744505,0,0,0.37,171.43
1566312818.662969,2,0,0.37,133.33
1566312819.7459235,1,0,0.37,133.33
1566312820.680012,2,0,0.37,116.5
1566312821.7021718,2,0,0.37,125.0
1566312822.689455,2,0,0.37,244.9
1566312823.7719328,1,0,0.37,100.0
1566312824.748397,2,1,0.37,150.0
1566312825.6945136,1,1,0.37,160.0
1566312826.75677,1,1,0.37,60.91
1566312827.7834876,1,1,0.37,41.81
1566312828.7266874,2,2,0.37,100.84
1566312829.7676537,2,1,0.37,102.56
1566312830.8150458,1,1,0.37,100.84
1566312831.7803113,2,1,0.37,150.0
1566312832.77246,0,2,0.37,150.0
1566312833.7476091,0,1,0.37,150.0
1566312834.8347032,2,1,0.37,139.53
1566312835.8238757,1,1,0.37,71.01
1566312836.811739,3,1,0.37,171.43
1566312837.8500686,0,2,0.37,171.43
1566312838.7652364,0,1,0.37,171.43
1566312839.8051057,1,2,0.37,25.48
