t,hb,pedal,resistance,hb_bpm
1551233311.9795396,2,0,0.34,2.1
1551233312.7920055,4,0,0.34,7.2
1551233313.7764108,1,0,0.34,55.8
1551233314.8701627,11,0,0.34,2.1
1551233315.8545384,5,0,0.34,1.8
1551233316.8701515,0,0,0.34,1.8
1551233317.7933075,2,0,0.34,55.5
1551233318.8089721,0,0,0.34,55.5
1551233319.9027226,3,0,0.34,4.5
1551233320.871473,3,0,0.34,3.0
1551233321.8089752,5,0,0.34,10.8
1551233322.8558464,0,0,0.33,10.8
1551233323.8246005,2,0,0.34,6.9
1551233324.8714755,2,0,0.34,22.5
1551233325.9339848,2,0,0.34,31.2
1551233326.9027328,1,1,0.33,46.5
1551233327.8729396,0,1,0.34,46.5
1551233328.919789,2,1,0.34,38.7
1551233329.8885336,1,1,0.34,39.0
1551233330.8885736,2,1,0.34,40.2
1551233331.8729513,1,1,0.34,40.8
1551233332.8885765,2,1,0.34,41.1
1551233333.9510794,1,1,0.34,40.2
1551233334.888577,12,1,0.34,23.4
1551233335.9823277,2,2,0.34,20.7
1551233336.9667072,2,1,0.33,39.0
1551233337.968108,1,1,0.34,38.4
1551233338.921236,4,1,0.34,5.4
1551233339.9524875,0,0,0.34,5.4
1551233340.9056134,0,0,0.34,5.4
1551233341.983735,0,0,0.4,5.4
1551233342.968115,0,0,0.43,5.4
1551233343.9056158,0,0,0.43,5.4
1551233344.968114,0,0,0.48,5.4
1551233345.9368725,0,0,0.48,5.4
1551233347.0164194,0,0,0.51,5.4
1551233347.9383,0,0,0.51,5.4
1551233349.0320127,0,0,0.51,5.4
1551233350.016427,0,0,0.52,5.4
1551233350.9851792,0,1,0.52,5.4
1551233351.9851837,5,0,0.52,0.6
1551233352.9695559,4,1,0.52,15.6
1551233354.032058,4,1,0.52,2.4
1551233355.0164342,0,1,0.52,2.4
1551233356.000812,1,1,0.52,110.7
1551233357.0803752,2,1,0.52,36.9
1551233357.9866288,1,2,0.52,36.6
1551233359.0647478,2,1,0.52,37.8
1551233360.0335033,1,1,0.52,39.6
1551233361.017879,2,1,0.52,40.2
1551233362.002253,1,1,0.52,41.1
1551233363.0959694,5,1,0.52,24.9
1551233364.03351,1,1,0.51,41.1
1551233365.0647564,2,1,0.52,39.6
1551233366.0491364,1,1,0.52,39.3
1551233367.0505102,2,1,0.52,39.6
1551233368.0349123,1,1,0.52,38.7
1551233369.1130352,2,2,0.52,38.4
1551233370.1130037,2,1,0.52,37.5
1551233371.081789,1,1,0.52,36.9
1551233372.0661695,2,1,0.52,37.8
1551233373.1599221,1,1,0.52,37.5
1551233374.144295,2,1,0.52,36.3
1551233375.12867,2,1,0.52,36.3
1551233376.1286736,1,1,0.52,35.4
1551233377.1144981,5,1,0.52,1.5
