t,hb,pedal,resistance,hb_bpm
1551232726.84616,3,0,0.22,27.0
1551232727.9410205,2,1,0.22,26.7
1551232729.02285,2,1,0.22,27.0
1551232729.913451,2,1,0.22,27.3
1551232730.8978183,1,1,0.22,80.7
1551232731.8821728,2,1,0.22,27.3
1551232732.9759567,2,1,0.22,27.0
1551232733.9555807,2,1,0.22,26.7
1551232734.9358363,3,1,0.22,25.8
1551232735.920186,2,1,0.22,26.7
1551232736.9140098,2,1,0.22,25.8
1551232737.8983843,6,1,0.22,14.7
1551232738.992092,2,1,0.22,25.8
1551232739.9764855,2,1,0.22,25.5
1551232740.9608622,3,1,0.22,25.2
1551232741.9452703,2,1,0.22,25.5
1551232742.92962,2,0,0.22,24.9
1551232744.0233676,3,1,0.22,25.8
1551232745.0077426,2,1,0.22,25.8
1551232745.9921243,2,1,0.22,25.2
1551232746.9779968,1,1,0.22,78.0
1551232747.9623954,2,1,0.22,26.1
1551232749.056149,2,1,0.22,25.8
1551232750.040499,3,1,0.22,25.8
1551232751.0249002,2,1,0.22,25.5
1551232752.0092783,2,1,0.22,25.5
1551232752.9936566,3,1,0.22,25.5
1551232754.0873888,2,0,0.22,25.5
1551232755.0717533,2,1,0.22,25.8
1551232756.0561378,2,1,0.22,25.2
1551232757.0405378,0,1,0.22,25.2
1551232758.0248659,2,1,0.22,25.8
1551232759.0405319,0,1,0.22,25.8
1551232760.102994,1,1,0.22,104.1
1551232761.087391,2,1,0.22,25.5
1551232762.0717916,3,1,0.22,25.5
1551232763.056174,1,1,0.22,25.8
1551232764.0405445,1,1,0.22,101.7
1551232765.134272,2,1,0.22,25.2
1551232766.1186483,1,1,0.22,25.8
