t,hb,pedal,resistance
1551227325.4635186,0,0,0.04
1551227326.4478948,7,0,0.03
1551227327.541624,18,0,0.03
1551227328.5259762,8,0,0.04
1551227329.5103538,9,0,0.03
1551227330.4947295,0,0,0.03
1551227331.4791327,26,0,0.03
1551227332.4635131,3,0,0.03
1551227333.557214,6,0,0.04
1551227334.5416377,3,0,0.04
1551227335.5260148,6,0,0.03
1551227336.510391,3,0,0.03
1551227337.4947646,7,0,0.04
1551227338.5885205,3,0,0.03
1551227339.572895,3,0,0.04
1551227340.5587277,7,0,0.04
1551227341.54308,4,0,0.04
1551227342.54308,10,0,0.04
1551227343.5430796,0,0,0.03
