t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551493498.5249622,0,0,0.05,10.55
1551493499.009348,0,0,0.05,10.55
1551493499.9312167,0,0,0.05,10.55
1551493501.0093067,0,0,0.05,10.55
1551493501.962469,0,0,0.05,10.55
1551493503.0093405,5,0,0.05,210.53
1551493503.9468386,1,0,0.05,78.43
1551493505.0249674,4,0,0.05,131.87
1551493506.0718417,1,0,0.05,58.82
1551493507.0249665,2,0,0.05,86.96
1551493508.0718684,3,0,0.05,61.22
1551493508.962469,9,0,0.05,89.55
1551493510.009349,5,0,0.05,164.38
1551493511.024968,2,0,0.05,55.56
1551493512.071867,0,0,0.05,55.56
1551493513.0093112,0,0,0.05,55.56
1551493513.9937255,0,0,0.05,55.56
1551493515.0406005,4,0,0.05,244.9
1551493516.1187217,7,0,0.05,153.85
1551493517.0718532,3,0,0.05,83.33
1551493518.0249782,2,0,0.05,83.33
1551493519.103124,1,0,0.04,48.0
1551493520.071852,0,0,0.05,48.0
1551493521.134353,0,0,0.05,48.0
1551493522.0718532,0,0,0.05,48.0
1551493523.0562692,1,0,0.05,14.05
1551493524.0718555,7,0,0.05,155.84
1551493525.1031117,9,0,0.05,114.29
1551493526.1499796,1,0,0.05,114.29
1551493527.056228,3,0,0.05,47.81
1551493528.087505,13,0,0.05,58.54
1551493529.1343577,9,0,0.05,162.16
1551493530.071859,3,0,0.05,63.83
1551493531.1031046,17,0,0.05,63.83
1551493532.1499815,1,0,0.05,47.62
1551493533.1499832,0,0,0.05,47.62
1551493534.0875041,0,0,0.05,47.62
1551493535.149988,0,0,0.05,47.62
1551493536.1968784,0,0,0.05,47.62
