t,hb,pedal,resistance
1551226936.077286,2,1,0.31
1551226937.061621,2,1,0.3
1551226938.0460157,0,1,0.31
1551226939.0303798,0,1,0.31
1551226940.125472,0,1,0.31
1551226941.1098642,0,1,0.3
1551226942.0941901,0,1,0.3
1551226943.0786011,6,0,0.31
1551226944.0629942,2,0,0.31
1551226945.1567113,0,0,0.31
1551226946.1411068,5,0,0.31
1551226947.1254888,4,0,0.3
1551226948.1098626,3,0,0.31
1551226949.094201,0,0,0.31
1551226950.0799298,4,1,0.3
1551226951.1736834,3,0,0.31
1551226952.1580756,0,1,0.31
1551226953.1423976,0,0,0.31
1551226954.1268106,1,1,0.3
1551226955.1112068,1,0,0.3
1551226956.2049024,1,1,0.31
1551226957.1893165,1,1,0.3
1551226958.1736546,0,0,0.31
1551226959.158085,22,1,0.3
1551226960.1438973,6,0,0.31
1551226961.237647,4,1,0.3
1551226962.2219899,0,1,0.31
1551226963.2063656,1,0,0.3
1551226964.1907816,8,0,0.31
1551226965.175154,6,0,0.31
1551226966.159532,0,0,0.31
1551226967.2532825,1,0,0.31
1551226968.2376602,2,0,0.31
1551226969.2219994,0,0,0.31
1551226970.207754,3,0,0.31
1551226971.1954913,8,0,0.3
1551226972.2892025,2,0,0.3
1551226973.2735784,1,0,0.3
1551226974.2582412,2,0,0.31
1551226975.2394898,0,0,0.3
1551226976.2238464,0,0,0.31
1551226977.2082582,1,0,0.31
1551226978.3019342,0,0,0.31
1551226979.2863111,1,1,0.3
1551226980.270728,0,1,0.3
1551226981.2550988,2,1,0.31
1551226982.2394803,2,1,0.31
1551226983.333192,5,2,0.3
1551226984.3176205,2,1,0.3
1551226985.3032634,1,2,0.3
1551226986.287696,2,1,0.27
1551226987.2720559,3,1,0.2
1551226988.365807,1,1,0.14
1551226989.350145,0,2,0.07
1551226990.3345218,3,2,0.03
1551226991.318898,0,2,0.04
1551226992.3033159,2,2,0.03
1551226993.2876885,1,2,0.03
1551226994.3814414,2,2,0.03
1551226995.3670642,3,1,0.03
1551226996.3514411,1,2,0.03
1551226997.3358176,2,2,0.04
1551226998.320194,11,2,0.04
1551226999.413999,2,2,0.04
1551227000.3983586,3,1,0.03
1551227001.382755,2,2,0.03
1551227002.367146,2,2,0.03
1551227003.351451,8,2,0.03
1551227004.4452395,8,2,0.03
1551227005.4296162,2,2,0.04
1551227006.4139953,0,2,0.03
1551227007.398332,6,2,0.03
1551227008.3827474,3,2,0.03
1551227009.4778876,5,2,0.03
1551227010.4621882,4,1,0.04
1551227011.446605,1,2,0.04
1551227012.430983,0,1,0.03
1551227013.4153564,0,1,0.03
1551227014.399694,1,2,0.04
1551227015.4934454,4,1,0.04
1551227016.4778216,1,1,0.03
1551227017.4622357,4,2,0.04
1551227018.4465754,2,1,0.03
1551227019.4310086,0,2,0.03
1551227020.5259967,3,1,0.04
1551227021.5103738,1,2,0.03
1551227022.4947503,5,1,0.04
1551227023.4791794,3,2,0.04
1551227024.4635026,4,1,0.03
1551227025.557294,0,2,0.04
1551227026.5416684,9,1,0.03
1551227027.5260472,5,1,0.03
1551227028.5103834,2,2,0.04
1551227029.4947608,0,1,0.03
1551227030.4791365,2,1,0.04
1551227031.5729647,5,0,0.03
1551227032.5572655,0,1,0.04
1551227033.5416772,13,0,0.03
1551227034.5273445,2,1,0.03
1551227035.5117605,0,0,0.04
1551227036.6055126,0,1,0.03
1551227037.5898666,0,0,0.03
1551227038.57419,4,0,0.03
1551227039.5585659,0,0,0.04
1551227040.5429435,3,0,0.04
1551227041.6367319,5,1,0.04
1551227042.621108,1,1,0.03
1551227043.6055365,5,2,0.03
1551227044.5754066,1,1,0.04
1551227045.5598211,3,1,0.04
1551227046.6535885,0,1,0.04
1551227047.6379492,0,2,0.04
1551227048.622288,0,1,0.04
1551227049.6066642,2,1,0.04
1551227050.5910878,0,1,0.03
1551227051.6871846,3,2,0.03
1551227052.6715994,2,1,0.03
1551227053.6559734,1,1,0.04
1551227054.6403153,4,1,0.04
1551227055.6355715,4,1,0.04
1551227056.6199472,5,1,0.04
1551227057.713699,3,2,0.03
1551227058.698076,1,1,0.03
1551227059.6824908,1,1,0.03
1551227060.6668665,3,1,0.03
1551227061.6512413,1,2,0.03
1551227062.6355815,0,1,0.03
1551227063.7293715,0,1,0.03
1551227064.7137444,0,1,0.04
1551227065.6981242,2,1,0.03
1551227066.6825385,0,1,0.03
1551227067.666839,0,2,0.03
1551227068.76059,1,1,0.03
1551227069.7462382,8,1,0.03
1551227070.7617898,2,1,0.03
1551227071.7461672,0,1,0.03
1551227072.7461681,4,2,0.04
1551227073.7617946,2,1,0.03
1551227074.746171,13,1,0.03
1551227075.730586,20,1,0.03
1551227076.7149637,5,1,0.03
1551227077.7149253,4,2,0.04
1551227078.7305527,9,1,0.03
1551227079.809507,4,1,0.03
1551227080.7938871,0,1,0.04
1551227081.7782242,1,1,0.03
1551227082.7626004,0,1,0.03
1551227083.7470133,1,1,0.04
1551227084.8407836,1,2,0.03
1551227085.8251429,1,1,0.03
1551227086.809551,4,1,0.04
1551227087.7939339,10,1,0.04
1551227088.7782347,18,1,0.03
1551227089.8720226,0,1,0.03
1551227090.8564115,3,1,0.03
1551227091.8407753,0,1,0.03
1551227092.825151,0,1,0.04
1551227093.8094926,5,2,0.04
1551227094.7938688,1,1,0.03
1551227095.8876555,1,1,0.03
1551227096.8719969,4,1,0.04
1551227097.856373,6,1,0.03
1551227098.8407493,4,1,0.03
1551227099.8263497,0,1,0.03
1551227100.9201016,0,1,0.03
1551227101.904515,1,1,0.03
1551227102.8888898,14,2,0.03
1551227103.8732314,2,1,0.03
1551227104.8576436,3,2,0.03
1551227105.95136,3,2,0.03
1551227106.9357765,2,1,0.04
1551227107.920149,4,2,0.04
1551227108.9045258,0,2,0.03
1551227109.8903177,0,1,0.03
1551227110.8746245,4,2,0.04
1551227111.9684122,3,2,0.04
1551227112.9528086,4,2,0.03
1551227113.9371648,2,2,0.03
1551227114.9215057,3,1,0.04
1551227115.9059205,1,2,0.04
1551227116.999634,2,1,0.03
1551227117.98401,5,1,0.03
1551227118.9684222,5,2,0.03
1551227119.952804,0,1,0.04
1551227120.9371774,2,0,0.04
1551227122.0309303,3,1,0.03
1551227123.0153434,26,2,0.03
1551227123.9996438,17,1,0.03
1551227124.9840205,4,1,0.04
1551227125.9684353,9,1,0.03
1551227127.062148,15,1,0.03
1551227128.0465653,6,1,0.03
1551227129.0309534,12,1,0.03
1551227130.0152783,14,1,0.04
1551227130.9996915,10,1,0.03
1551227131.987537,3,2,0.03
1551227133.081282,6,1,0.03
1551227134.0655854,0,1,0.04
1551227135.0499997,2,1,0.03
1551227136.029291,1,1,0.03
1551227137.0136213,0,2,0.03
1551227138.1073728,4,1,0.03
1551227139.0917842,0,1,0.04
1551227140.0825505,1,1,0.03
1551227141.0669074,1,1,0.03
1551227142.0512295,3,1,0.03
1551227143.0356462,3,2,0.03
1551227144.1293578,1,1,0.03
1551227145.1137335,0,1,0.03
1551227146.0981104,0,1,0.03
1551227147.0824873,5,1,0.03
1551227148.0668635,2,1,0.03
1551227149.1606157,1,1,0.04
1551227150.1464393,2,1,0.04
1551227151.1308496,1,1,0.03
1551227152.1151526,0,1,0.03
1551227153.0995853,0,1,0.03
1551227154.1933575,0,2,0.03
1551227155.1776567,4,1,0.03
1551227156.1621046,4,1,0.03
1551227157.2558208,3,1,0.04
1551227158.1307864,2,1,0.03
1551227159.2245953,1,1,0.03
1551227160.2089155,3,1,0.04
1551227161.1932914,1,2,0.03
1551227162.1776676,3,1,0.03
1551227163.162044,3,1,0.04
1551227164.1464214,2,1,0.04
1551227165.2401724,0,2,0.04
1551227166.2246046,3,1,0.03
1551227167.208965,1,1,0.03
1551227168.193302,5,2,0.03
1551227169.1776779,9,1,0.03
1551227170.2728133,5,1,0.04
1551227171.257147,1,2,0.03
1551227172.2415235,4,1,0.03
1551227173.2259011,5,1,0.03
1551227174.2102373,0,1,0.03
1551227175.194614,0,2,0.03
1551227176.2883754,19,1,0.03
1551227177.2727506,12,1,0.03
1551227178.2571187,8,1,0.03
1551227179.2414944,9,1,0.03
1551227180.2258716,15,2,0.03
1551227181.3196244,16,1,0.03
1551227182.3040736,10,1,0.04
1551227183.2883766,14,1,0.03
1551227184.2727535,11,1,0.03
1551227185.2584574,13,2,0.03
1551227186.352171,14,1,0.04
1551227187.3365822,16,1,0.03
1551227188.3210027,10,1,0.04
1551227189.3053515,14,1,0.03
1551227190.2897177,13,2,0.04
1551227191.3835144,16,1,0.03
1551227192.367845,12,1,0.04
1551227193.3504107,12,1,0.03
1551227194.33481,8,2,0.03
1551227195.314365,14,1,0.03
1551227196.404948,17,1,0.04
1551227197.3898122,12,1,0.03
1551227198.3751192,8,1,0.04
1551227199.359443,10,1,0.03
1551227200.3531213,17,2,0.03
1551227201.328787,18,1,0.04
1551227202.4192345,10,1,0.03
1551227203.4109879,9,1,0.03
1551227204.3914902,14,2,0.03
1551227205.3774629,12,1,0.03
