t,hb,pedal,resistance
1551226866.7375283,167,0,0.31
1551226867.7219052,201,0,0.31
1551226868.706245,201,0,0.3
1551226869.6991894,198,0,0.31
1551226870.6835155,201,0,0.3
1551226871.777309,195,0,0.31
1551226872.7616847,16,1,0.31
1551226873.7460642,13,0,0.31
1551226874.730451,4,1,0.31
1551226875.7148144,4,1,0.31
1551226876.8085253,9,1,0.31
1551226877.7929013,11,2,0.31
1551226878.7772782,14,1,0.31
1551226879.7616942,15,2,0.3
1551226880.746031,6,2,0.3
1551226881.8398218,3,1,0.31
1551226882.824219,1,1,0.3
1551226883.8085985,0,1,0.31
1551226884.7929125,2,1,0.31
1551226885.7772899,0,1,0.31
1551226886.7616658,0,1,0.3
1551226887.855417,1,1,0.3
1551226888.8397925,0,1,0.3
1551226889.8241692,1,1,0.31
1551226890.808545,1,2,0.32
1551226891.7929223,1,0,0.3
1551226892.8866742,0,0,0.3
1551226893.8659744,7,0,0.31
1551226894.8402205,5,0,0.31
1551226895.8245602,6,0,0.31
1551226896.8089757,0,0,0.31
1551226897.902688,1,1,0.3
1551226898.8870642,1,1,0.3
1551226899.8714411,4,2,0.3
1551226900.8558183,3,1,0.31
1551226901.8401952,6,2,0.3
1551226902.9339464,5,2,0.31
1551226903.9183242,8,1,0.3
1551226904.9039948,2,1,0.31
1551226905.888406,0,1,0.31
1551226906.8727462,1,0,0.3
1551226907.9665287,4,0,0.31
1551226908.9508803,5,1,0.31
1551226909.935216,1,1,0.31
1551226910.9196293,4,0,0.31
1551226911.9039688,3,1,0.3
1551226912.8883834,7,1,0.3
1551226913.9821494,1,0,0.31
1551226914.9678438,0,1,0.31
1551226915.9522185,4,1,0.31
1551226916.9365559,9,1,0.3
1551226917.920973,4,1,0.31
1551226919.014721,0,1,0.3
1551226919.999101,1,1,0.31
1551226920.9834368,0,1,0.31
1551226921.9678912,2,1,0.3
1551226922.9521902,2,0,0.3
1551226924.0459802,2,1,0.3
1551226925.030395,0,1,0.31
1551226926.014694,1,0,0.3
1551226926.9991071,13,0,0.31
1551226927.9834473,0,0,0.31
1551226929.0771992,155,0,0.31
1551226930.061617,114,0,0.31
1551226931.045952,6,0,0.31
1551226932.030368,10,1,0.31
1551226933.0147471,0,1,0.3
1551226933.9991214,0,1,0.31
1551226935.0928838,0,1,0.3
