t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1570461528.1238472,1,0,0.21,162.16
1570461529.1654575,0,0,0.21,162.16
1570461530.0787826,0,0,0.21,162.16
1570461531.1146333,0,0,0.21,162.16
1570461532.1863344,1,0,0.21,300.0
1570461533.1347942,1,0,0.21,240.0
1570461534.1431391,1,0,0.21,187.5
1570461535.1540337,2,0,0.21,255.32
1570461536.166686,2,0,0.21,292.68
1570461537.1724427,0,0,0.21,292.68
1570461538.1593425,0,0,0.21,292.68
1570461539.1113498,2,0,0.21,134.83
1570461540.1444328,1,1,0.21,66.3
1570461541.1711562,1,1,0.21,57.14
1570461542.2187178,1,0,0.27,47.62
1570461543.1681087,0,1,0.37,47.62
1570461544.2222655,3,1,0.46,181.82
1570461545.170595,1,1,0.55,260.87
1570461546.242206,1,1,0.64,70.18
1570461547.1636162,1,1,0.73,46.69
1570461548.2125807,1,1,0.84,39.6
1570461549.213365,1,1,0.98,222.22
1570461550.2189693,0,1,0.99,222.22
1570461551.2241719,1,1,0.99,37.97
1570461552.2530844,0,1,0.99,37.97
1570461553.2755408,1,1,0.99,30.85
1570461554.2252266,0,1,0.99,30.85
1570461555.2786465,1,1,0.99,22.47
1570461556.2212195,0,1,0.99,22.47
1570461557.2791336,0,1,0.99,22.47
1570461558.2348852,0,1,0.99,22.47
1570461559.2134564,0,2,0.99,22.47
1570461560.2588587,1,1,0.99,13.07
1570461561.2992811,0,0,0.99,13.07
1570461562.2332022,2,0,0.99,127.66
1570461563.3066745,0,0,0.99,127.66
1570461564.2546215,1,0,0.99,48.78
1570461565.3067284,1,0,0.99,69.77
1570461566.295482,0,0,0.99,69.77
1570461567.3564148,1,0,0.99,29.06
1570461568.3116367,1,0,0.99,42.4
1570461569.275055,1,0,0.99,57.97
1570461570.3164196,2,0,0.99,187.5
1570461571.3552096,1,0,0.99,300.0
1570461572.2912085,2,0,0.99,206.9
1570461573.2831209,1,1,0.99,214.29
1570461574.3424428,1,1,0.99,226.42
1570461575.2931266,1,1,0.99,235.29
1570461576.3384135,2,1,0.99,187.5
1570461577.4000409,1,1,0.99,250.0
1570461578.3511424,1,1,0.99,113.21
1570461579.4106576,2,1,0.99,179.1
1570461580.405268,2,1,0.99,240.0
1570461581.341919,2,1,0.99,300.0
1570461582.3982024,1,1,0.99,155.84
1570461583.3509648,2,1,0.99,214.29
1570461584.4160788,3,1,0.99,300.0
1570461585.4321582,1,1,0.99,200.0
1570461586.4452739,1,1,0.99,46.88
1570461587.3945212,3,1,0.99,171.43
1570461588.417436,2,1,0.99,142.86
1570461589.4358807,2,1,0.99,155.84
1570461590.4535298,2,0,0.99,155.84
1570461591.4713938,1,1,0.99,126.32
1570461592.384401,2,1,0.99,142.86
1570461593.4031239,2,1,0.99,160.0
1570461594.4638143,1,1,0.99,226.42
1570461595.484132,1,1,0.99,40.96
1570461596.4142642,0,0,0.99,40.96
1570461597.4410799,1,0,0.96,47.62
1570461598.4637823,0,0,0.82,47.62
1570461599.4873002,0,0,0.72,47.62
1570461600.514097,0,0,0.7,47.62
1570461601.474204,2,0,0.7,118.81
1570461602.495748,0,1,0.69,118.81
1570461603.5153997,1,1,0.7,47.62
1570461604.5331602,0,1,0.69,47.62
1570461605.4469101,0,1,0.7,47.62
1570461606.4628544,0,0,0.7,47.62
1570461607.4791121,0,1,0.7,47.62
1570461608.547514,0,1,0.7,47.62
1570461609.4674153,0,1,0.7,47.62
1570461610.4936466,0,1,0.7,47.62
1570461611.4975824,0,1,0.7,47.62
1570461612.4998028,0,1,0.7,47.62
1570461613.5044231,0,1,0.7,47.62
1570461614.505399,1,0,0.7,5.32
1570461615.5556207,0,0,0.7,5.32
1570461616.5554268,0,0,0.7,5.32
1570461617.5604405,1,0,0.7,48.0
1570461618.5682538,1,0,0.7,139.53
1570461619.5834496,0,0,0.7,139.53
1570461620.5936587,0,1,0.69,139.53
1570461621.6020586,0,1,0.7,139.53
1570461622.557463,0,1,0.7,139.53
1570461623.5557349,1,1,0.7,260.87
1570461624.5572748,1,0,0.7,226.42
1570461625.5581715,1,1,0.7,226.42
1570461626.5666592,1,1,0.7,71.01
1570461627.581671,1,1,0.7,210.53
1570461628.6013477,1,1,0.7,47.62
1570461629.6721811,1,1,0.7,55.81
1570461630.5838246,0,1,0.7,55.81
1570461631.7004952,0,1,0.7,55.81
1570461632.6066368,0,1,0.7,55.81
1570461633.616444,1,1,0.7,47.62
1570461634.6296484,0,0,0.7,47.62
1570461635.6536906,1,1,0.7,26.55
1570461636.6294067,3,1,0.7,279.07
1570461637.652247,0,1,0.69,279.07
1570461638.6763484,0,1,0.7,279.07
1570461639.7045171,0,1,0.7,279.07
1570461640.6200254,1,0,0.7,16.67
1570461642.6919687,1,1,0.7,53.1
1570461643.7118757,1,1,0.7,105.26
1570461644.6889668,2,1,0.7,105.26
1570461645.7225516,2,1,0.7,103.45
1570461646.7484868,0,1,0.7,103.45
1570461647.6762164,1,1,0.7,34.78
1570461648.7048144,2,1,0.7,103.45
1570461649.7365797,2,1,0.7,102.56
1570461650.7644987,1,1,0.69,51.72
1570461651.7536476,0,1,0.7,51.72
1570461652.6856043,1,1,0.7,49.38
1570461653.72109,0,0,0.7,49.38
1570461654.7495747,0,1,0.7,49.38
1570461655.771334,0,0,0.7,49.38
1570461656.7885478,0,0,0.69,49.38
1570461657.800868,0,0,0.7,49.38
1570461658.7757893,0,0,0.7,49.38
1570461659.7863839,2,0,0.7,292.68
1570461660.8088198,1,1,0.7,240.0
1570461661.840956,1,1,0.69,59.7
1570461662.751021,1,0,0.7,60.61
1570461663.7688498,0,1,0.7,60.61
1570461664.7942665,1,1,0.7,22.68
1570461665.7820296,2,1,0.7,102.56
1570461666.807296,1,1,0.7,100.84
1570461667.8297534,2,1,0.69,102.56
1570461668.8518345,2,1,0.7,100.0
1570461669.783496,0,1,0.7,100.0
1570461670.8150697,0,1,0.7,100.0
1570461671.8458734,1,1,0.7,20.27
1570461672.8531563,1,1,0.7,103.45
1570461673.8730462,0,1,0.7,103.45
1570461674.789738,1,0,0.7,30.08
1570461675.8063233,1,1,0.7,96.77
1570461676.8280344,1,1,0.7,42.4
1570461677.8459735,1,1,0.7,272.73
1570461678.8665316,1,1,0.7,34.68
1570461679.8551457,1,1,0.7,279.07
1570461680.873796,1,1,0.7,36.25
1570461681.8881953,2,1,0.7,112.15
1570461682.9098685,1,1,0.7,196.72
1570461683.8295403,2,1,0.7,112.15
1570461684.8539982,2,1,0.7,110.09
1570461685.87559,1,1,0.7,110.09
1570461686.8776658,1,1,0.7,36.59
1570461687.9082983,1,1,0.7,110.09
1570461688.9408598,1,1,0.7,54.3
1570461689.8615687,1,1,0.7,109.09
1570461690.8928983,0,1,0.7,109.09
1570461691.9254334,2,1,0.7,109.09
1570461692.9567437,2,1,0.7,110.09
1570461693.9687243,2,1,0.7,109.09
