t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551494629.5725377,20,0,0.03,54.79
1551494630.5568993,10,0,0.03,181.82
1551494631.7600248,7,0,0.03,142.86
1551494632.6506417,9,1,0.03,125.0
1551494633.6193867,6,0,0.03,255.32
1551494634.5725358,2,0,0.03,81.08
1551494635.6662898,0,0,0.03,81.08
1551494636.6506426,4,0,0.03,42.7
1551494637.619412,2,1,0.03,73.17
1551494638.60379,5,0,0.03,127.66
1551494639.6662877,4,1,0.03,127.66
1551494640.6350186,0,1,0.03,127.66
1551494641.6193938,0,2,0.03,127.66
1551494642.728777,1,1,0.03,20.94
1551494643.6194155,0,2,0.03,20.94
1551494644.6818612,0,1,0.03,20.94
1551494645.7287917,0,1,0.03,20.94
1551494646.6350222,1,2,0.03,13.41
1551494647.7287765,4,1,0.03,82.19
1551494648.697522,0,0,0.03,82.19
1551494649.7131126,1,0,0.03,32.0
1551494650.697539,0,1,0.03,32.0
1551494651.6506538,0,0,0.03,32.0
1551494652.7600307,0,0,0.03,32.0
1551494653.7600167,0,0,0.03,32.0
