t,hb,pedal,resistance,hb_bpm
1551319276.244114,0,0,0.26,272.73
1551319277.3931465,2,0,0.26,38.1
1551319278.2368975,0,0,0.26,38.1
1551319279.1984885,0,0,0.26,38.1
1551319280.1984708,1,0,0.26,22.1
1551319281.167259,0,0,0.26,22.1
1551319282.2610128,0,0,0.26,22.1
1551319283.2453866,1,0,0.26,16.95
1551319284.2141395,0,0,0.26,16.95
1551319285.198514,2,0,0.26,30.85
1551319286.2141428,4,0,0.26,226.42
1551319287.2922313,4,0,0.26,184.62
1551319288.1985207,6,0,0.26,150.0
1551319289.2610219,2,0,0.26,279.07
1551319290.2453618,3,0,0.26,94.49
1551319291.2141116,0,0,0.26,94.49
1551319292.229777,0,0,0.26,94.49
1551319293.3235242,1,0,0.26,20.03
1551319294.2922418,1,0,0.26,89.55
1551319295.3078682,2,0,0.26,88.89
1551319296.292244,1,0,0.26,88.24
1551319297.3235312,2,0,0.26,88.24
1551319298.2453907,1,0,0.26,88.24
1551319299.323525,1,0,0.26,85.71
1551319300.3079443,2,0,0.26,80.54
1551319301.2922916,1,0,0.26,78.43
1551319302.370416,1,0,0.27,72.73
1551319303.2766674,1,0,0.26,69.36
1551319304.3406312,2,0,0.26,72.29
1551319305.3562608,1,0,0.26,71.86
1551319306.3250113,1,0,0.26,73.62
1551319307.309386,1,0,0.26,75.95
1551319308.2937741,2,1,0.27,83.92
1551319309.371889,1,2,0.26,84.51
1551319310.3562672,2,1,0.26,88.89
1551319311.3562672,1,2,0.26,88.89
1551319312.3562703,2,2,0.26,90.91
1551319313.3406453,1,2,0.26,90.91
1551319314.4187734,2,2,0.26,94.49
1551319315.387521,1,1,0.26,92.31
1551319316.403113,2,2,0.26,92.31
1551319317.4031496,2,2,0.26,285.71
1551319318.356281,2,2,0.26,90.23
1551319319.450033,1,2,0.26,90.23
1551319320.4187796,2,2,0.26,91.6
1551319321.41879,3,2,0.26,118.81
1551319322.403123,2,2,0.26,110.09
1551319323.3875377,0,2,0.26,110.09
1551319324.4656634,1,2,0.26,32.26
1551319325.465677,1,1,0.26,98.36
1551319326.4500031,1,2,0.26,33.24
1551319327.4187539,1,2,0.26,99.17
1551319328.4031665,0,2,0.26,99.17
1551319329.4046378,1,2,0.26,25.32
1551319330.4827676,0,2,0.26,25.32
1551319331.4827297,0,2,0.26,25.32
1551319332.4671457,2,2,0.26,101.69
1551319333.4515197,3,2,0.26,105.26
1551319334.435915,2,2,0.26,148.15
1551319335.513986,2,2,0.26,107.14
1551319336.4984004,2,1,0.26,107.14
1551319337.4983995,2,2,0.26,108.11
1551319338.4671547,2,2,0.26,109.09
1551319339.4671557,2,2,0.26,110.09
1551319340.4515283,1,2,0.26,110.09
1551319341.4671562,2,2,0.26,111.11
1551319342.5296555,2,1,0.26,112.15
1551319343.4984097,2,2,0.26,112.15
1551319344.4997618,2,2,0.26,112.15
1551319345.4841423,2,2,0.26,114.29
1551319346.5778942,2,2,0.26,114.29
1551319347.562269,21,1,0.26,222.22
1551319348.5466464,1,2,0.26,56.87
1551319349.54665,0,1,0.26,56.87
1551319350.531021,2,2,0.26,115.38
1551319351.6091695,2,0,0.26,116.5
1551319352.5779002,2,0,0.26,114.29
1551319353.6091158,2,0,0.26,115.38
1551319354.609151,2,0,0.27,114.29
1551319355.6247847,2,0,0.26,115.38
1551319356.6560674,2,0,0.26,115.38
1551319357.562282,2,0,0.26,115.38
1551319358.5637102,2,0,0.26,115.38
1551319359.6105855,2,0,0.27,115.38
1551319360.5793767,2,0,0.26,115.38
1551319361.5793781,2,0,0.26,113.21
1551319362.6418753,1,0,0.26,112.15
1551319363.6262262,2,0,0.26,113.21
1551319364.6262546,2,0,0.26,113.21
1551319365.6162326,2,0,0.26,113.21
1551319366.6943562,2,0,0.26,113.21
1551319367.6786978,2,0,0.26,114.29
1551319368.663111,4,1,0.26,139.53
1551319369.663077,1,1,0.26,112.15
1551319370.6474543,2,2,0.26,113.21
1551319371.6318414,2,1,0.26,181.82
1551319372.6162524,2,2,0.26,115.38
1551319373.6957712,2,2,0.26,113.21
1551319374.695772,3,1,0.26,279.07
1551319375.6644871,2,2,0.27,109.09
1551319376.6644886,2,2,0.26,110.09
1551319377.648867,2,1,0.26,110.09
1551319378.7270267,1,2,0.26,109.09
1551319379.7114174,2,2,0.26,112.15
1551319380.7114089,3,1,0.26,162.16
1551319381.7270308,2,2,0.26,113.21
1551319382.6957517,1,2,0.26,113.21
1551319383.7738743,1,2,0.26,38.1
1551319384.7582886,2,1,0.26,115.38
1551319385.7270389,2,2,0.26,115.38
1551319386.727041,2,2,0.26,116.5
1551319387.695795,2,2,0.26,116.5
1551319388.8065827,2,1,0.26,118.81
1551319389.7753358,2,1,0.26,120.0
1551319390.7597132,2,1,0.26,120.0
1551319391.7440543,2,0,0.26,120.0
1551319392.7909663,2,0,0.26,120.0
1551319393.7440524,2,0,0.26,122.45
1551319394.7284298,2,0,0.26,121.21
1551319395.8065655,2,0,0.26,123.71
1551319396.7753468,2,0,0.27,122.45
1551319397.7597194,2,0,0.26,123.71
1551319398.854885,2,0,0.26,122.45
1551319399.8392627,2,0,0.26,121.21
1551319400.8236368,2,0,0.26,117.65
1551319401.8080149,2,0,0.26,116.5
1551319402.8705194,2,0,0.26,113.21
1551319403.823606,2,0,0.26,112.15
1551319404.8236444,2,0,0.26,111.11
1551319405.77677,1,1,0.26,111.11
1551319406.8705194,0,1,0.26,111.11
1551319407.854915,2,2,0.26,114.29
1551319408.8250299,2,2,0.26,116.5
1551319409.82507,2,1,0.26,115.38
1551319410.8094451,2,2,0.26,112.15
1551319411.8094463,2,2,0.26,109.09
1551319412.871915,2,2,0.26,105.26
1551319413.871916,1,1,0.26,105.26
1551319414.840702,2,2,0.26,104.35
1551319415.8563292,2,2,0.26,106.19
1551319416.8250794,2,2,0.26,105.26
1551319417.840705,1,1,0.26,107.14
1551319418.9671347,2,2,0.27,108.11
1551319419.85775,2,2,0.26,109.09
1551319420.8890011,2,1,0.26,112.15
1551319421.8733788,2,2,0.26,112.15
1551319422.9671302,2,2,0.26,113.21
1551319423.9671285,0,2,0.26,113.21
1551319424.9671326,0,1,0.26,113.21
1551319425.9515054,1,1,0.26,24.19
1551319426.889029,3,2,0.26,285.71
1551319427.9983866,0,1,0.26,285.71
1551319428.8890114,1,2,0.27,35.09
1551319429.9515321,8,1,0.26,255.32
1551319430.951515,7,2,0.26,255.32
1551319431.951516,0,1,0.26,255.32
1551319432.998392,1,2,0.27,26.67
1551319434.031142,2,1,0.27,121.21
