t,hb,pedal,resistance
1551050482.917093,0,2,0.04
1551050483.9013915,0,2,0.04
1551050484.9884148,6,2,0.04
1551050485.9728465,4,2,0.04
1551050486.9571676,6,2,0.04
1551050487.9490328,5,1,0.04
1551050488.9227028,6,2,0.04
1551050490.0164568,7,2,0.04
1551050491.000795,6,2,0.04
1551050491.9852438,6,2,0.04
1551050492.9652596,3,2,0.04
1551050493.9496367,5,2,0.04
1551050494.9340537,5,1,0.03
1551050496.0278072,3,2,0.04
1551050497.0121794,6,2,0.04
1551050497.9965177,5,2,0.04
1551050498.9808939,5,1,0.04
1551050499.9652698,3,1,0.04
1551050501.0590627,6,0,0.04
1551050502.0434756,3,0,0.04
1551050503.0291426,6,0,0.04
1551050504.0134811,3,0,0.04
1551050504.9978976,6,0,0.04
1551050506.0916092,3,0,0.03
1551050507.076037,7,0,0.04
1551050508.060399,6,0,0.04
1551050509.0447388,3,0,0.04
1551050510.029151,6,0,0.04
1551050511.01353,4,0,0.04
1551050512.107244,6,0,0.04
1551050513.09166,4,0,0.04
1551050514.076035,6,0,0.04
1551050515.074134,4,0,0.04
1551050516.0585465,7,0,0.04
1551050517.042887,7,0,0.04
1551050518.1366768,3,0,0.04
1551050519.1181397,8,0,0.04
1551050520.0924022,3,0,0.04
1551050521.0767605,7,0,0.04
1551050522.170509,3,0,0.04
1551050523.153547,6,0,0.04
1551050524.1379228,5,0,0.04
1551050525.1223,4,0,0.04
1551050526.106677,6,0,0.04
1551050527.200427,3,0,0.04
1551050528.1861992,6,0,0.04
1551050529.170581,3,0,0.04
1551050530.1549568,6,0,0.04
1551050531.1393316,3,0,0.04
1551050532.123705,7,0,0.04
1551050533.2174213,4,0,0.04
1551050534.2018714,7,0,0.04
1551050535.1862135,3,0,0.04
1551050536.1705892,6,0,0.04
1551050537.1549618,3,0,0.04
1551050538.2487307,6,0,0.04
1551050539.2330549,4,0,0.04
1551050540.2174318,3,0,0.04
1551050541.2018795,6,0,0.04
1551050542.1862395,3,0,0.04
1551050543.281235,7,0,0.04
1551050544.26561,4,0,0.04
1551050545.2499857,7,0,0.04
1551050546.237393,9,0,0.04
1551050547.2217188,16,0,0.04
