t,hb,pedal,resistance
1551146469.3130534,5,1,0.53
1551146470.2974818,12,1,0.53
1551146471.2818465,4,1,0.53
1551146472.2674701,6,1,0.53
1551146473.251847,5,1,0.53
1551146474.2362852,3,1,0.53
1551146475.33001,7,1,0.53
1551146476.3143857,3,2,0.53
1551146477.298764,4,1,0.53
1551146478.2831037,2,1,0.53
1551146479.267517,6,1,0.53
1551146480.259935,5,1,0.53
1551146481.3536453,3,1,0.53
1551146482.3380375,0,2,0.53
1551146483.3224385,4,1,0.53
1551146484.3067935,7,1,0.53
1551146485.2911558,4,1,0.53
1551146486.384944,7,1,0.53
1551146487.3692446,3,1,0.53
1551146488.353696,2,2,0.53
1551146489.3379967,3,1,0.53
1551146490.3092778,6,1,0.53
1551146491.4030652,5,0,0.53
1551146492.4018762,5,1,0.53
1551146493.3862886,7,0,0.53
1551146494.366545,4,0,0.53
1551146495.3509402,8,0,0.53
1551146496.4446895,5,0,0.53
1551146497.4334307,6,0,0.53
1551146498.41781,6,0,0.53
1551146499.4021316,7,0,0.53
1551146500.3865633,4,0,0.53
1551146501.370921,4,0,0.53
1551146502.4646363,7,0,0.53
1551146503.4490123,4,0,0.53
1551146504.4333882,8,0,0.53
1551146505.4178052,4,0,0.53
1551146506.4021776,6,0,0.53
1551146507.481657,7,0,0.53
1551146508.465995,6,0,0.53
1551146509.4504256,5,0,0.53
1551146510.4348218,6,0,0.53
1551146511.4191258,4,0,0.53
1551146512.512949,4,0,0.53
1551146513.502238,9,0,0.53
1551146514.486617,4,0,0.53
1551146515.4709923,6,0,0.53
1551146516.4553127,9,0,0.53
1551146517.5491095,0,0,0.53
1551146518.5308213,8,0,0.53
1551146519.515197,0,0,0.53
1551146520.5028706,4,0,0.53
1551146521.4872086,3,0,0.53
1551146522.4716253,0,1,0.53
1551146523.5653718,6,1,0.53
1551146524.5497544,8,1,0.53
1551146525.5341403,5,2,0.53
1551146526.518522,5,1,0.53
1551146527.502843,4,1,0.53
1551146528.5965958,6,1,0.53
1551146529.5810266,4,1,0.53
1551146530.5654159,2,2,0.53
1551146531.5498002,4,1,0.53
1551146532.5355341,6,1,0.53
1551146533.6293614,2,1,0.53
1551146534.6136627,19,1,0.53
1551146535.5980747,3,2,0.53
1551146536.582468,2,1,0.53
1551146537.566792,4,1,0.53
1551146538.6606016,8,1,0.53
1551146539.6449554,6,1,0.53
1551146540.6293485,6,1,0.53
1551146541.6137116,3,1,0.53
1551146542.5980504,0,1,0.53
1551146543.5824265,5,2,0.53
1551146544.6761782,1,1,0.53
1551146545.6605911,0,1,0.53
1551146546.6488366,0,1,0.53
1551146547.63319,0,1,0.53
1551146548.617549,2,1,0.53
1551146549.7113173,3,1,0.53
1551146550.695684,3,2,0.53
1551146551.680059,2,1,0.53
1551146552.6644347,1,1,0.53
1551146553.6487868,0,1,0.53
1551146554.6331985,4,1,0.53
1551146555.7269552,3,1,0.53
1551146556.7113113,4,1,0.53
1551146557.6970365,6,2,0.53
1551146558.6814628,3,1,0.53
1551146559.665789,4,1,0.53
1551146560.7596195,0,1,0.53
1551146561.7358167,4,1,0.53
1551146562.7286303,1,1,0.53
1551146563.7129977,2,1,0.53
1551146564.6973238,2,2,0.53
1551146565.7911289,3,1,0.53
1551146566.7754931,9,1,0.53
1551146567.7598634,0,1,0.53
1551146568.7442043,4,1,0.53
1551146569.7286212,0,2,0.53
1551146570.7129986,1,1,0.53
1551146571.8067834,4,1,0.53
1551146572.7911577,0,1,0.53
1551146573.7755008,5,1,0.53
1551146574.759838,0,2,0.53
1551146575.7442148,0,1,0.53
1551146576.9474154,0,1,0.53
1551146577.8236742,3,1,0.53
1551146578.8080776,3,2,0.53
1551146579.7924118,2,1,0.53
1551146580.7745297,2,1,0.53
1551146581.868227,0,0,0.53
1551146582.840393,5,0,0.53
1551146583.8247547,4,0,0.53
1551146584.8090909,7,0,0.53
1551146585.7935274,3,0,0.53
1551146586.8872967,0,0,0.53
1551146587.8716502,5,0,0.53
1551146588.856013,2,0,0.53
1551146589.8403497,0,0,0.53
1551146590.824725,4,0,0.53
1551146591.9185162,6,0,0.53
1551146592.9041908,5,0,0.53
1551146593.8886073,4,0,0.53
1551146594.872982,8,0,0.52
1551146595.857357,4,0,0.53
1551146596.9511232,7,0,0.53
1551146597.9355042,5,0,0.52
1551146598.919824,5,0,0.53
1551146599.9042568,7,0,0.53
1551146600.8886185,4,0,0.53
1551146601.8729897,5,0,0.53
1551146602.9667065,7,0,0.53
1551146603.9511378,5,0,0.53
1551146604.935515,6,0,0.52
1551146605.9198349,7,0,0.53
1551146606.904248,5,0,0.53
1551146607.9992964,6,0,0.53
1551146608.983672,5,0,0.53
1551146609.9680517,8,0,0.53
1551146610.9524398,6,0,0.53
1551146611.9368021,4,0,0.53
1551146613.0305557,5,2,0.53
1551146614.0227327,12,2,0.53
1551146615.0071442,19,4,0.53
1551146615.9915712,16,3,0.53
1551146616.975862,10,3,0.53
1551146617.9602957,10,3,0.53
1551146619.0540257,7,3,0.53
1551146620.0383668,9,3,0.53
1551146621.0228004,9,3,0.53
1551146622.007119,1,2,0.53
1551146622.9929035,0,0,0.53
1551146624.076373,1,0,0.53
1551146625.0607584,6,0,0.53
1551146626.0451467,9,0,0.53
1551146627.0295076,4,0,0.53
1551146628.0253203,5,0,0.53
1551146629.0096965,7,0,0.53
1551146630.103392,4,0,0.53
1551146631.0877686,7,0,0.53
1551146632.0721707,5,0,0.53
1551146633.0565226,6,0,0.53
1551146634.0409331,0,0,0.53
1551146635.1346896,5,0,0.53
1551146636.1190848,8,0,0.53
1551146637.1034584,4,0,0.53
1551146638.0877795,6,0,0.53
1551146639.0722091,8,0,0.53
1551146640.056568,5,0,0.53
1551146641.1503284,6,0,0.53
1551146642.136153,4,0,0.53
1551146643.1205268,21,0,0.53
1551146644.104907,0,1,0.53
1551146645.0892596,2,1,0.53
1551146646.1829576,7,1,0.53
1551146647.1673365,3,1,0.53
1551146648.1419983,5,1,0.53
1551146649.1264153,2,1,0.53
1551146650.2201312,0,1,0.53
1551146651.2045417,3,1,0.53
1551146652.1992376,3,1,0.53
1551146653.1836324,1,1,0.53
1551146654.1679866,0,1,0.53
1551146655.1523468,0,1,0.53
1551146656.1367645,4,1,0.53
1551146657.2304394,4,1,0.53
1551146658.2148564,3,1,0.53
1551146659.1992323,0,1,0.53
1551146660.1836212,6,1,0.53
1551146661.1679466,4,1,0.53
1551146662.2616978,0,1,0.53
1551146663.2461462,8,1,0.53
1551146664.230489,6,1,0.53
1551146665.214863,6,1,0.53
1551146666.19926,6,1,0.53
1551146667.278687,6,1,0.53
1551146668.3724427,4,1,0.53
1551146669.247462,4,1,0.53
1551146670.2317817,2,1,0.53
1551146671.2162113,2,1,0.53
1551146672.3099458,3,1,0.53
1551146673.2943394,6,1,0.53
1551146674.2787006,0,1,0.53
1551146675.26304,0,1,0.53
1551146676.247469,3,1,0.53
1551146677.3411682,6,1,0.53
1551146678.3256216,6,0,0.53
1551146679.3099737,6,1,0.53
1551146680.29435,4,1,0.53
1551146681.289623,7,1,0.53
1551146682.2739604,4,1,0.53
1551146683.3677325,5,1,0.53
1551146684.352104,8,2,0.53
1551146685.3364284,4,1,0.53
1551146686.320845,7,1,0.53
1551146687.3052597,5,1,0.53
1551146688.3990057,8,1,0.53
1551146689.3833826,5,1,0.53
1551146690.3677573,4,1,0.53
1551146691.3479967,9,1,0.53
1551146692.336875,5,1,0.53
1551146693.3212342,7,1,0.53
1551146694.4057288,6,1,0.53
1551146695.3912122,6,1,0.53
1551146696.3755891,8,1,0.53
1551146697.3685517,6,1,0.53
1551146698.3528538,7,1,0.53
1551146699.4466052,6,1,0.53
1551146700.431037,5,1,0.53
1551146701.415357,7,1,0.53
1551146702.399795,5,1,0.53
1551146703.3841107,6,1,0.53
1551146704.4778621,7,1,0.53
1551146705.4622898,2,1,0.53
1551146706.4466681,0,2,0.53
1551146707.432303,5,1,0.53
1551146708.4166646,4,1,0.53
1551146709.4010644,6,1,0.53
1551146710.4948099,7,1,0.53
1551146711.4791324,2,1,0.53
1551146712.4635706,0,1,0.53
1551146713.447939,5,1,0.53
1551146714.4322622,5,1,0.53
1551146715.5122488,6,1,0.53
1551146716.4966285,1,1,0.53
1551146717.495358,4,1,0.53
1551146718.4797745,4,2,0.53
1551146719.4641097,1,1,0.53
1551146720.5578604,3,1,0.53
1551146721.5422373,3,1,0.53
1551146722.5266483,1,1,0.53
1551146723.5110438,0,1,0.53
1551146724.4954224,5,1,0.53
1551146725.589172,7,1,0.53
1551146726.573498,2,1,0.53
1551146727.54345,2,1,0.53
1551146728.5279026,3,1,0.53
1551146729.5122411,1,1,0.53
1551146730.6059906,0,1,0.53
1551146731.5903718,0,1,0.53
1551146732.574707,0,0,0.53
1551146733.5591235,6,0,0.53
1551146734.5435188,4,0,0.53
1551146735.6372128,5,0,0.53
1551146736.621589,7,0,0.53
1551146737.6072414,5,0,0.53
1551146738.5916746,7,0,0.53
1551146739.5760694,4,0,0.53
1551146740.5604088,8,0,0.53
1551146741.6541226,6,0,0.53
1551146742.6385572,4,0,0.53
1551146743.6228757,7,0,0.53
1551146744.6073236,4,0,0.53
1551146745.591681,5,0,0.53
1551146746.68538,8,0,0.53
1551146747.669834,5,0,0.53
1551146748.6537187,5,0,0.53
1551146749.6380248,8,0,0.53
1551146750.6224537,4,0,0.53
1551146751.7161512,5,0,0.53
1551146752.7018764,8,0,0.53
1551146753.6862473,6,0,0.53
1551146754.670589,4,0,0.53
1551146755.655018,3,0,0.53
1551146756.639379,0,2,0.53
1551146757.7436726,5,1,0.53
1551146758.7280586,6,1,0.53
1551146759.712424,5,2,0.53
1551146760.6968405,7,1,0.53
1551146761.6780703,2,2,0.53
1551146762.771822,3,1,0.53
1551146763.7561975,3,1,0.53
1551146764.740572,6,1,0.53
1551146765.7249105,5,2,0.53
1551146766.7092874,4,1,0.53
1551146767.8030393,5,1,0.53
1551146768.7874534,5,2,0.53
1551146769.7717936,6,1,0.53
1551146770.7561696,5,1,0.53
1551146771.7406008,5,1,0.53
1551146772.7262912,3,1,0.53
1551146773.8200076,6,2,0.53
1551146774.80444,5,1,0.53
1551146775.7888165,2,1,0.53
1551146776.7731376,1,1,0.53
1551146777.7575543,4,1,0.53
1551146778.8513217,6,2,0.53
1551146779.8356416,1,1,0.53
1551146780.8200173,0,1,0.53
1551146781.8044448,0,1,0.53
1551146782.7894304,0,1,0.53
1551146783.883165,0,1,0.53
1551146784.8675003,1,2,0.53
1551146785.8519175,0,1,0.53
1551146786.8362541,0,1,0.53
1551146787.8207052,3,1,0.53
1551146788.8050065,3,2,0.53
1551146789.8988144,2,1,0.53
1551146790.8831341,0,1,0.53
1551146791.86751,1,0,0.53
1551146792.8532953,2,0,0.53
1551146793.837632,3,0,0.53
1551146794.9313884,7,0,0.53
1551146795.915761,4,0,0.53
1551146796.9001536,7,0,0.53
1551146797.8844776,4,0,0.53
1551146798.868892,6,0,0.53
1551146799.8532312,15,2,0.53
1551146800.9469817,9,2,0.53
1551146801.9313922,15,3,0.53
1551146802.915797,11,2,0.53
1551146803.9001114,3,3,0.53
1551146804.8845427,3,3,0.53
1551146805.978276,3,3,0.53
1551146806.9626548,0,2,0.53
1551146807.947047,0,1,0.53
1551146808.9314222,0,0,0.53
1551146809.915802,4,0,0.53
1551146811.009498,5,0,0.53
1551146811.9939287,5,0,0.53
1551146812.978302,8,0,0.53
1551146813.9626272,4,0,0.53
1551146814.9470038,6,0,0.53
1551146816.0407548,2,0,0.53
1551146817.0152943,6,0,0.53
1551146818.010006,5,0,0.53
1551146818.993341,8,0,0.53
1551146819.9716265,6,0,0.53
1551146821.065416,6,0,0.53
1551146822.049772,4,0,0.53
1551146823.042397,6,0,0.53
1551146824.0267727,4,1,0.53
1551146824.9972143,0,1,0.53
1551146825.9815326,2,1,0.53
1551146827.0753398,4,1,0.53
1551146828.0714,6,1,0.53
1551146829.05583,4,1,0.53
1551146830.0401938,7,1,0.53
1551146831.0245867,5,2,0.53
1551146832.1183362,6,1,0.53
1551146833.0904343,7,1,0.53
1551146834.0748682,3,1,0.53
1551146835.0592277,5,1,0.53
1551146836.0435643,8,1,0.53
1551146837.1373148,6,1,0.53
1551146838.1216924,6,2,0.53
1551146839.106069,6,1,0.53
1551146840.0904796,4,1,0.53
1551146841.0748968,6,1,0.53
1551146842.1686285,4,1,0.53
1551146843.1529846,4,2,0.53
1551146844.1373258,5,1,0.53
1551146845.1217022,3,1,0.53
1551146846.1060789,3,1,0.53
1551146847.0904558,4,1,0.53
1551146848.185517,4,1,0.53
1551146849.169934,6,1,0.53
1551146850.1582358,4,1,0.53
1551146851.1426105,4,0,0.53
1551146852.1269836,7,0,0.53
1551146853.22072,5,0,0.53
1551146854.2051148,7,0,0.53
1551146855.1894872,5,0,0.53
1551146856.1738126,7,0,0.53
1551146857.1581895,5,0,0.53
1551146858.251942,4,0,0.53
1551146859.2363584,6,0,0.53
1551146860.2207532,4,0,0.53
1551146861.2050705,7,0,0.53
1551146862.1894848,5,0,0.53
1551146863.1738842,5,0,0.53
1551146864.2676134,4,0,0.53
1551146865.2519882,8,0,0.53
1551146866.2363822,5,0,0.53
1551146867.222083,4,0,0.53
1551146868.206473,9,0,0.53
1551146869.3002098,0,0,0.5
1551146870.2845833,0,0,0.47
1551146871.2689786,7,0,0.39
1551146872.253338,0,0,0.32
1551146873.237717,12,0,0.26
1551146874.3314857,0,0,0.19
1551146875.3158615,2,0,0.13
1551146876.3002338,5,0,0.07
1551146877.285868,0,0,0.04
1551146878.2702787,0,0,0.03
1551146879.2546725,2,0,0.04
1551146880.3484101,0,2,0.03
1551146881.3327494,5,1,0.04
1551146882.3209548,4,2,0.03
1551146883.3053322,5,1,0.04
1551146884.280896,9,1,0.03
1551146885.3746312,7,2,0.03
1551146886.35903,5,1,0.04
1551146887.3527002,5,2,0.03
1551146888.3370557,6,1,0.04
1551146889.3213801,5,1,0.03
1551146890.3057947,9,2,0.04
1551146891.3905613,3,1,0.04
1551146892.3844151,2,1,0.04
1551146893.3687356,33,2,0.04
1551146894.3531468,2,1,0.03
1551146895.3375661,9,1,0.04
1551146896.4312549,5,2,0.03
1551146897.4156942,4,1,0.03
1551146898.399993,2,1,0.03
1551146899.3844106,9,1,0.04
1551146900.3687468,6,2,0.04
1551146901.4625351,4,1,0.04
1551146902.4486268,4,1,0.03
1551146903.4330025,5,2,0.03
1551146904.4173782,6,1,0.03
1551146905.4017556,6,1,0.04
1551146906.386132,6,1,0.03
1551146907.479937,2,2,0.04
1551146908.4643142,3,1,0.04
1551146909.448676,3,1,0.04
1551146910.433013,0,1,0.03
1551146911.417445,0,2,0.03
1551146912.4968493,7,1,0.04
1551146913.4812832,6,1,0.04
1551146914.4656382,8,2,0.04
1551146915.4499779,5,1,0.03
1551146916.4343932,4,2,0.03
1551146917.5281827,6,2,0.04
1551146918.5261369,7,3,0.03
1551146919.5105355,4,2,0.03
1551146920.4949296,6,2,0.04
1551146921.4792268,6,2,0.03
1551146922.5729787,5,2,0.04
1551146923.557411,6,2,0.04
1551146924.5417688,6,2,0.04
1551146925.526163,5,3,0.04
1551146926.5105617,8,2,0.04
1551146927.4948983,6,2,0.03
1551146928.588613,6,2,0.04
1551146929.572989,3,2,0.04
1551146930.5472128,3,2,0.04
1551146931.5316265,3,3,0.04
1551146932.5273798,2,2,0.03
1551146933.6210768,5,2,0.03
1551146934.6055138,0,2,0.04
1551146935.5898294,1,2,0.04
1551146936.5742607,1,3,0.03
1551146937.558618,5,2,0.04
1551146938.6523871,6,2,0.04
1551146939.63675,6,2,0.04
1551146940.6211433,7,2,0.03
1551146941.6055045,6,3,0.03
1551146942.589893,6,2,0.04
1551146943.5742714,3,2,0.04
1551146944.668009,1,2,0.03
1551146945.6523812,5,3,0.03
1551146946.6367772,2,2,0.03
1551146947.606847,3,2,0.04
1551146948.7005818,6,2,0.04
1551146949.684959,6,2,0.04
1551146950.6693118,6,3,0.03
1551146951.6537116,5,2,0.04
1551146952.6410246,10,2,0.03
1551146953.625349,6,1,0.04
1551146954.7191584,6,2,0.04
1551146955.7035322,6,1,0.04
1551146956.6879296,6,2,0.03
1551146957.6722305,6,2,0.04
1551146958.6566582,6,1,0.04
1551146959.7503939,8,2,0.04
1551146960.7347932,5,2,0.03
1551146961.7286549,6,1,0.03
1551146962.7130182,6,2,0.03
1551146963.6973555,6,2,0.04
1551146964.6817727,6,1,0.04
1551146965.7755585,6,2,0.03
1551146966.7599175,7,2,0.03
1551146967.745645,9,1,0.04
1551146968.7300208,6,2,0.04
1551146969.7143965,6,2,0.03
1551146970.8081625,6,1,0.04
1551146971.792486,5,2,0.04
1551146972.7769175,9,2,0.03
1551146973.761238,5,2,0.04
1551146974.7456515,7,1,0.03
1551146975.7299912,5,2,0.03
1551146976.8238182,5,2,0.03
1551146977.7938068,8,1,0.04
1551146978.7782004,5,2,0.03
1551146979.7626026,8,2,0.03
1551146980.8562758,5,1,0.04
1551146981.8406935,9,2,0.03
1551146982.8251061,5,2,0.03
1551146983.8094432,5,1,0.03
1551146984.7938159,5,2,0.03
1551146985.7831008,6,1,0.04
1551146986.8768528,5,2,0.03
1551146987.8612833,5,2,0.03
1551146988.845657,6,1,0.04
1551146989.8300393,7,2,0.03
1551146990.8144128,6,2,0.04
1551146991.908111,4,1,0.03
1551146992.8925402,6,2,0.03
1551146993.8769164,6,1,0.03
1551146994.86124,6,2,0.04
1551146995.8456728,5,2,0.03
1551146996.939408,5,1,0.04
1551146997.9251375,8,2,0.03
1551146998.9094954,5,2,0.04
1551146999.8938358,6,1,0.03
1551147000.8782535,6,2,0.03
1551147001.8626676,5,2,0.04
1551147002.956342,6,1,0.04
1551147003.940718,6,2,0.03
1551147004.9250953,4,2,0.03
1551147005.9094977,8,1,0.03
1551147006.893903,6,2,0.04
1551147007.9889293,4,2,0.03
1551147008.9733584,6,1,0.03
1551147009.9576814,4,2,0.03
1551147010.9420574,6,2,0.03
1551147011.9264915,6,1,0.03
1551147013.0202222,6,2,0.04
1551147014.0046008,9,2,0.03
1551147014.9889772,5,1,0.03
1551147015.9733548,6,2,0.03
1551147016.957692,5,2,0.03
1551147017.9434676,5,1,0.03
1551147019.0372608,6,2,0.04
1551147020.0138793,6,2,0.03
1551147020.9983118,9,1,0.03
1551147021.9827077,7,2,0.04
1551147022.9753275,5,2,0.03
1551147024.0690787,6,1,0.03
1551147025.0467937,5,2,0.04
1551147026.0310886,6,2,0.04
1551147027.015465,6,1,0.04
1551147028.0072222,6,2,0.04
1551147029.1009574,6,2,0.03
1551147030.085355,9,1,0.03
1551147031.0697136,6,2,0.03
1551147032.0541112,6,2,0.03
