t,hb,pedal,resistance
1551146197.0920002,7,0,0.04
1551146197.9514291,3,0,0.04
1551146198.9358284,3,0,0.04
1551146199.9202065,5,0,0.04
1551146200.9045463,10,0,0.04
1551146201.8889387,6,0,0.04
1551146202.9826703,12,0,0.04
1551146203.9670656,25,0,0.04
1551146204.9513872,10,0,0.1
1551146205.9358,1,0,0.18
1551146206.92019,14,0,0.26
1551146208.0152688,12,0,0.35
1551146208.9996529,7,0,0.44
1551146209.9840426,18,0,0.52
1551146210.9684186,17,0,0.53
1551146211.9527776,0,0,0.53
1551146212.9378426,5,0,0.53
1551146214.0315797,32,0,0.53
1551146215.0159557,12,0,0.53
1551146216.000347,0,0,0.53
1551146216.984707,6,0,0.53
1551146217.9690447,10,0,0.53
1551146218.9590538,43,1,0.53
1551146220.0455554,52,0,0.53
1551146221.0298975,8,0,0.53
1551146222.0144928,39,0,0.53
1551146223.0009904,7,0,0.53
1551146224.094708,7,0,0.53
1551146225.0790844,33,0,0.53
1551146226.0635233,38,1,0.53
1551146227.0479105,13,1,0.53
1551146228.0364554,4,1,0.53
1551146229.0208328,0,1,0.53
1551146230.114584,0,1,0.53
1551146231.0990586,3,1,0.53
1551146232.0834136,0,1,0.53
1551146233.0677476,0,1,0.53
1551146234.0520902,0,2,0.53
1551146235.1458802,5,1,0.53
1551146236.130218,3,1,0.53
1551146237.1146486,0,1,0.53
1551146238.0989716,0,2,0.53
1551146239.0833468,0,1,0.53
1551146240.067764,4,1,0.53
1551146241.1615493,2,1,0.53
1551146242.1458964,4,2,0.53
1551146243.1303034,4,1,0.53
1551146244.1146579,2,1,0.53
1551146245.0989811,9,1,0.53
1551146246.191129,6,2,0.52
1551146247.1777363,0,1,0.53
1551146248.1620362,3,1,0.53
1551146249.1464677,4,2,0.53
1551146250.1308293,3,1,0.53
1551146251.2245405,4,1,0.53
1551146252.2089167,4,1,0.53
1551146253.1933324,6,2,0.53
1551146254.1777215,0,1,0.53
1551146255.1620836,3,1,0.53
1551146256.1464608,0,2,0.53
1551146257.2401745,0,2,0.53
1551146258.2246065,4,1,0.53
1551146259.2089272,5,2,0.53
1551146260.1933577,0,2,0.53
1551146261.1777196,1,2,0.53
1551146262.2727077,2,2,0.53
1551146263.2571242,0,1,0.53
1551146264.2414992,0,2,0.53
1551146265.2258384,1,2,0.53
1551146266.2102525,2,2,0.53
1551146267.303965,0,1,0.53
1551146268.2883787,0,2,0.53
1551146269.2727547,0,1,0.53
1551146270.2570949,4,2,0.53
1551146271.2415063,7,1,0.53
1551146272.2272828,6,1,0.53
1551146273.3210087,3,2,0.53
1551146274.305388,6,1,0.53
1551146275.2897801,0,1,0.53
1551146276.2741442,3,1,0.53
1551146277.2585318,6,2,0.53
1551146278.3523045,1,1,0.53
1551146279.3317215,7,1,0.53
1551146280.3160977,3,1,0.53
1551146281.3004913,0,2,0.53
1551146282.2902882,1,2,0.53
1551146283.3840945,0,2,0.53
1551146284.3684702,0,3,0.53
1551146285.3528285,0,2,0.53
1551146286.3372042,0,2,0.53
1551146287.321586,1,1,0.53
1551146288.415369,0,1,0.53
1551146289.3997123,3,1,0.53
1551146290.3779027,5,1,0.53
1551146291.3623178,4,1,0.53
1551146292.3540926,5,2,0.53
1551146293.3384924,4,1,0.53
1551146294.4211965,3,1,0.53
1551146295.4055877,3,1,0.53
1551146296.3899734,2,1,0.53
1551146297.3857534,0,0,0.53
1551146298.370145,2,0,0.53
1551146299.4638786,4,0,0.53
1551146300.4482765,6,0,0.53
1551146301.4326339,5,0,0.53
1551146302.416974,5,0,0.53
1551146303.4014282,6,0,0.53
1551146304.3857834,7,0,0.53
1551146305.4795177,4,0,0.53
1551146306.4639082,0,0,0.53
1551146307.433991,0,1,0.53
1551146308.4184027,0,1,0.53
1551146309.5121207,0,2,0.53
1551146310.4965315,3,1,0.53
1551146311.4809105,6,1,0.53
1551146312.4678736,4,1,0.53
1551146313.4521961,2,2,0.53
1551146314.4366121,0,1,0.53
1551146315.5303602,0,1,0.53
1551146316.5147378,0,1,0.53
1551146317.499115,2,1,0.53
1551146318.4834523,0,1,0.53
1551146319.4678802,3,1,0.53
1551146320.5616338,4,2,0.53
1551146321.5460148,0,0,0.53
1551146322.531683,3,1,0.53
1551146323.5160606,4,1,0.53
1551146324.500511,4,1,0.53
1551146325.5941873,4,2,0.53
1551146326.578615,3,1,0.53
1551146327.5615716,1,1,0.53
1551146328.546002,2,1,0.53
1551146329.5303233,0,2,0.53
1551146330.5147521,0,1,0.53
1551146331.6084924,0,1,0.53
1551146332.5951955,0,2,0.53
1551146333.5796247,1,1,0.53
1551146334.5639496,0,1,0.53
1551146335.5483253,0,2,0.53
1551146336.6420765,0,1,0.53
1551146337.6264925,5,1,0.53
1551146338.6108806,2,1,0.53
1551146339.595244,0,0,0.53
1551146340.5796542,6,0,0.53
1551146341.6733818,3,0,0.53
1551146342.6577659,6,0,0.53
1551146343.6420872,4,0,0.53
1551146344.6265173,6,0,0.53
1551146345.6171055,4,0,0.53
1551146346.6015284,5,0,0.53
1551146347.6952345,7,0,0.53
1551146348.6796477,4,0,0.53
1551146349.6639879,6,0,0.53
1551146350.6483638,4,0,0.53
1551146351.6327758,4,0,0.53
1551146352.727885,6,0,0.53
1551146353.7122693,5,0,0.53
1551146354.6966367,5,0,0.53
1551146355.6809764,6,0,0.53
1551146356.6653879,4,0,0.53
1551146357.6509242,4,0,0.53
1551146358.7445993,3,0,0.53
1551146359.728975,0,2,0.53
1551146360.7013795,0,2,0.53
1551146361.6856773,0,1,0.53
1551146362.6825314,0,2,0.53
1551146363.776269,0,2,0.53
1551146364.7606454,0,2,0.53
1551146365.7450418,0,1,0.53
1551146366.729397,0,2,0.53
1551146367.713774,0,2,0.53
1551146368.8075428,0,2,0.53
1551146369.7918656,0,1,0.53
1551146370.7762773,1,2,0.53
1551146371.7606187,1,2,0.53
1551146372.7306778,2,2,0.53
1551146373.8244684,4,1,0.53
1551146374.8088067,8,2,0.53
1551146375.7932367,0,2,0.53
1551146376.777596,0,2,0.53
1551146377.7619917,0,2,0.53
1551146378.8557112,0,1,0.53
1551146379.8411238,0,2,0.53
1551146380.8255346,0,1,0.53
1551146381.8098936,0,0,0.53
1551146382.7942145,2,0,0.53
1551146383.7785902,6,0,0.53
1551146384.8723989,5,0,0.53
1551146385.856755,5,0,0.53
1551146386.8410947,4,0,0.53
1551146387.8268275,6,0,0.53
1551146388.8112063,4,0,0.53
1551146389.9049687,6,0,0.53
1551146390.8892932,4,0,0.53
1551146391.873709,5,0,0.53
1551146392.858045,8,0,0.53
1551146393.842459,5,0,0.53
1551146394.9361737,6,0,0.53
1551146395.9205515,4,0,0.53
1551146396.9049647,6,0,0.53
1551146397.8907347,7,0,0.53
1551146398.8751311,4,0,0.53
1551146399.968826,0,1,0.53
1551146400.9532032,2,1,0.53
1551146401.937634,1,2,0.53
1551146402.9219918,1,2,0.53
1551146403.9063714,2,1,0.53
1551146404.8907635,3,1,0.53
1551146405.984499,6,2,0.53
1551146406.9688747,5,1,0.53
1551146407.954592,6,1,0.53
1551146408.9389696,3,2,0.53
1551146409.92333,3,1,0.53
1551146411.0170434,6,1,0.53
1551146412.0014942,3,1,0.53
1551146412.9835725,3,1,0.53
1551146413.9679537,5,2,0.53
1551146414.9522903,5,1,0.53
1551146416.0460782,3,1,0.53
1551146417.0304694,6,1,0.53
1551146418.0181189,6,1,0.53
1551146419.0025358,5,1,0.53
1551146419.986909,2,1,0.53
1551146420.9712486,116,1,0.53
1551146422.0650008,201,1,0.53
1551146423.0494378,201,1,0.53
1551146424.0316038,106,1,0.53
1551146425.016021,0,2,0.53
1551146426.0003924,6,1,0.53
1551146427.0974622,2,1,0.53
1551146428.0894523,0,1,0.53
1551146429.0738552,4,1,0.53
1551146430.058223,7,1,0.53
1551146431.0425832,7,1,0.53
1551146432.026923,6,2,0.53
1551146433.1207285,5,1,0.53
1551146434.1051083,6,1,0.53
1551146435.0894678,5,1,0.53
1551146436.0738428,6,1,0.53
1551146437.0582376,5,1,0.53
1551146438.1519325,5,1,0.53
1551146439.136385,5,2,0.53
1551146440.1207616,7,1,0.53
1551146441.105116,0,1,0.53
1551146442.0752277,2,1,0.53
1551146443.1689723,0,1,0.53
1551146444.1533363,7,1,0.53
1551146445.1377487,5,1,0.53
1551146446.1229167,10,1,0.53
1551146447.1072865,6,2,0.53
1551146448.201042,3,1,0.53
1551146449.1854346,0,1,0.53
1551146450.1698098,2,1,0.53
1551146451.1541884,3,1,0.53
1551146452.1398892,3,1,0.53
1551146453.124215,1,1,0.53
1551146454.2180429,4,1,0.53
1551146455.2023935,0,2,0.53
1551146456.1867924,0,1,0.53
1551146457.1711533,2,1,0.51
1551146458.1555269,0,1,0.53
1551146459.2492602,0,1,0.53
1551146460.2336388,4,1,0.53
1551146461.218033,2,1,0.53
1551146462.2037425,4,1,0.53
1551146463.1880975,6,1,0.53
1551146464.2818706,4,1,0.53
1551146465.2662292,5,1,0.53
1551146466.250604,3,1,0.53
1551146467.234965,3,2,0.53
1551146468.2193012,9,1,0.53
